"Label (Grouping)","Alabama!!Total!!Estimate","Alabama!!Male!!Estimate","Alabama!!Female!!Estimate","Alaska!!Total!!Estimate","Alaska!!Male!!Estimate","Alaska!!Female!!Estimate","Arizona!!Total!!Estimate","Arizona!!Male!!Estimate","Arizona!!Female!!Estimate","Arkansas!!Total!!Estimate","Arkansas!!Male!!Estimate","Arkansas!!Female!!Estimate","California!!Total!!Estimate","California!!Male!!Estimate","California!!Female!!Estimate","Colorado!!Total!!Estimate","Colorado!!Male!!Estimate","Colorado!!Female!!Estimate","Connecticut!!Total!!Estimate","Connecticut!!Male!!Estimate","Connecticut!!Female!!Estimate","Delaware!!Total!!Estimate","Delaware!!Male!!Estimate","Delaware!!Female!!Estimate","District of Columbia!!Total!!Estimate","District of Columbia!!Male!!Estimate","District of Columbia!!Female!!Estimate","Florida!!Total!!Estimate","Florida!!Male!!Estimate","Florida!!Female!!Estimate","Georgia!!Total!!Estimate","Georgia!!Male!!Estimate","Georgia!!Female!!Estimate","Hawaii!!Total!!Estimate","Hawaii!!Male!!Estimate","Hawaii!!Female!!Estimate","Idaho!!Total!!Estimate","Idaho!!Male!!Estimate","Idaho!!Female!!Estimate","Illinois!!Total!!Estimate","Illinois!!Male!!Estimate","Illinois!!Female!!Estimate","Indiana!!Total!!Estimate","Indiana!!Male!!Estimate","Indiana!!Female!!Estimate","Iowa!!Total!!Estimate","Iowa!!Male!!Estimate","Iowa!!Female!!Estimate","Kansas!!Total!!Estimate","Kansas!!Male!!Estimate","Kansas!!Female!!Estimate","Kentucky!!Total!!Estimate","Kentucky!!Male!!Estimate","Kentucky!!Female!!Estimate","Louisiana!!Total!!Estimate","Louisiana!!Male!!Estimate","Louisiana!!Female!!Estimate","Maine!!Total!!Estimate","Maine!!Male!!Estimate","Maine!!Female!!Estimate","Maryland!!Total!!Estimate","Maryland!!Male!!Estimate","Maryland!!Female!!Estimate","Massachusetts!!Total!!Estimate","Massachusetts!!Male!!Estimate","Massachusetts!!Female!!Estimate","Michigan!!Total!!Estimate","Michigan!!Male!!Estimate","Michigan!!Female!!Estimate","Minnesota!!Total!!Estimate","Minnesota!!Male!!Estimate","Minnesota!!Female!!Estimate","Mississippi!!Total!!Estimate","Mississippi!!Male!!Estimate","Mississippi!!Female!!Estimate","Missouri!!Total!!Estimate","Missouri!!Male!!Estimate","Missouri!!Female!!Estimate","Montana!!Total!!Estimate","Montana!!Male!!Estimate","Montana!!Female!!Estimate","Nebraska!!Total!!Estimate","Nebraska!!Male!!Estimate","Nebraska!!Female!!Estimate","Nevada!!Total!!Estimate","Nevada!!Male!!Estimate","Nevada!!Female!!Estimate","New Hampshire!!Total!!Estimate","New Hampshire!!Male!!Estimate","New Hampshire!!Female!!Estimate","New Jersey!!Total!!Estimate","New Jersey!!Male!!Estimate","New Jersey!!Female!!Estimate","New Mexico!!Total!!Estimate","New Mexico!!Male!!Estimate","New Mexico!!Female!!Estimate","New York!!Total!!Estimate","New York!!Male!!Estimate","New York!!Female!!Estimate","North Carolina!!Total!!Estimate","North Carolina!!Male!!Estimate","North Carolina!!Female!!Estimate","North Dakota!!Total!!Estimate","North Dakota!!Male!!Estimate","North Dakota!!Female!!Estimate","Ohio!!Total!!Estimate","Ohio!!Male!!Estimate","Ohio!!Female!!Estimate","Oklahoma!!Total!!Estimate","Oklahoma!!Male!!Estimate","Oklahoma!!Female!!Estimate","Oregon!!Total!!Estimate","Oregon!!Male!!Estimate","Oregon!!Female!!Estimate","Pennsylvania!!Total!!Estimate","Pennsylvania!!Male!!Estimate","Pennsylvania!!Female!!Estimate","Rhode Island!!Total!!Estimate","Rhode Island!!Male!!Estimate","Rhode Island!!Female!!Estimate","South Carolina!!Total!!Estimate","South Carolina!!Male!!Estimate","South Carolina!!Female!!Estimate","South Dakota!!Total!!Estimate","South Dakota!!Male!!Estimate","South Dakota!!Female!!Estimate","Tennessee!!Total!!Estimate","Tennessee!!Male!!Estimate","Tennessee!!Female!!Estimate","Texas!!Total!!Estimate","Texas!!Male!!Estimate","Texas!!Female!!Estimate","Utah!!Total!!Estimate","Utah!!Male!!Estimate","Utah!!Female!!Estimate","Vermont!!Total!!Estimate","Vermont!!Male!!Estimate","Vermont!!Female!!Estimate","Virginia!!Total!!Estimate","Virginia!!Male!!Estimate","Virginia!!Female!!Estimate","Washington!!Total!!Estimate","Washington!!Male!!Estimate","Washington!!Female!!Estimate","West Virginia!!Total!!Estimate","West Virginia!!Male!!Estimate","West Virginia!!Female!!Estimate","Wisconsin!!Total!!Estimate","Wisconsin!!Male!!Estimate","Wisconsin!!Female!!Estimate","Wyoming!!Total!!Estimate","Wyoming!!Male!!Estimate","Wyoming!!Female!!Estimate","Puerto Rico!!Total!!Estimate","Puerto Rico!!Male!!Estimate","Puerto Rico!!Female!!Estimate"
"Total population","4,833,722","2,341,869","2,491,853","735,132","386,404","348,728","6,626,624","3,298,086","3,328,538","2,959,373","1,461,544","1,497,829","38,332,521","19,072,246","19,260,275","5,268,367","2,645,976","2,622,391","3,596,080","1,751,883","1,844,197","925,749","447,789","477,960","646,449","306,147","340,302","19,552,860","9,565,609","9,987,251","9,992,167","4,879,034","5,113,133","1,404,054","710,917","693,137","1,612,136","810,879","801,257","12,882,135","6,326,778","6,555,357","6,570,902","3,228,884","3,342,018","3,090,416","1,528,770","1,561,646","2,893,957","1,440,481","1,453,476","4,395,295","2,163,067","2,232,228","4,625,470","2,256,464","2,369,006","1,328,302","649,994","678,308","5,928,814","2,875,157","3,053,657","6,692,824","3,245,774","3,447,050","9,895,622","4,858,138","5,037,484","5,420,380","2,690,694","2,729,686","2,991,207","1,451,232","1,539,975","6,044,171","2,960,402","3,083,769","1,015,165","507,018","508,147","1,868,516","925,274","943,242","2,790,136","1,403,068","1,387,068","1,323,459","652,662","670,797","8,899,339","4,343,749","4,555,590","2,085,287","1,034,144","1,051,143","19,651,127","9,536,179","10,114,948","9,848,060","4,795,976","5,052,084","723,393","369,155","354,238","11,570,808","5,658,223","5,912,585","3,850,568","1,906,922","1,943,646","3,930,065","1,946,196","1,983,869","12,773,801","6,243,308","6,530,493","1,051,511","512,999","538,512","4,774,839","2,321,179","2,453,660","844,877","424,160","420,717","6,495,978","3,174,148","3,321,830","26,448,193","13,145,494","13,302,699","2,900,872","1,458,758","1,442,114","626,630","308,672","317,958","8,260,405","4,060,533","4,199,872","6,971,406","3,475,830","3,495,576","1,854,304","916,834","937,470","5,742,713","2,855,502","2,887,211","582,658","297,497","285,161","3,615,086","1,729,120","1,885,966"
"AGE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Under 5 years","6.0%","6.3%","5.8%","7.4%","7.1%","7.8%","6.5%","6.7%","6.3%","6.4%","6.9%","6.0%","6.5%","6.7%","6.3%","6.3%","6.5%","6.2%","5.3%","5.5%","5.1%","6.1%","6.4%","5.8%","6.4%","6.8%","5.9%","5.5%","5.7%","5.2%","6.6%","6.8%","6.3%","6.5%","6.6%","6.3%","6.9%","7.3%","6.5%","6.2%","6.5%","5.9%","6.5%","6.8%","6.2%","6.2%","6.5%","6.0%","6.9%","7.1%","6.7%","6.2%","6.5%","5.9%","6.6%","6.8%","6.4%","4.8%","5.0%","4.7%","6.2%","6.5%","5.9%","5.4%","5.8%","5.1%","5.8%","6.0%","5.5%","6.4%","6.6%","6.2%","6.6%","6.8%","6.5%","6.2%","6.5%","5.9%","6.0%","6.0%","6.0%","6.9%","7.0%","6.8%","6.4%","6.5%","6.3%","5.0%","5.0%","4.9%","6.0%","6.2%","5.7%","6.6%","6.8%","6.4%","6.0%","6.3%","5.6%","6.2%","6.4%","5.9%","6.6%","6.6%","6.5%","6.0%","6.3%","5.7%","6.8%","7.0%","6.7%","5.8%","6.1%","5.5%","5.6%","5.8%","5.4%","5.2%","5.4%","4.9%","6.1%","6.4%","5.9%","6.9%","7.2%","6.7%","6.1%","6.5%","5.8%","7.3%","7.5%","7.1%","8.7%","8.9%","8.6%","4.8%","5.2%","4.5%","6.2%","6.4%","6.0%","6.3%","6.4%","6.2%","5.5%","5.8%","5.3%","5.9%","6.2%","5.7%","6.6%","6.6%","6.5%","5.5%","6.0%","5.0%"
"    5 to 9 years","6.3%","6.7%","5.9%","6.9%","7.0%","6.8%","7.0%","7.1%","6.9%","7.1%","7.5%","6.7%","6.7%","6.9%","6.5%","6.6%","6.6%","6.6%","6.1%","6.4%","5.8%","6.2%","6.3%","6.0%","5.0%","5.1%","4.9%","5.6%","5.8%","5.5%","7.1%","7.5%","6.7%","5.8%","5.8%","5.7%","7.5%","7.4%","7.7%","6.5%","6.8%","6.3%","6.8%","7.2%","6.4%","6.8%","6.9%","6.6%","7.1%","7.4%","6.8%","6.4%","6.5%","6.3%","7.0%","7.2%","6.8%","5.3%","5.6%","5.0%","6.2%","6.5%","5.9%","5.7%","6.0%","5.4%","6.3%","6.6%","6.0%","6.6%","6.9%","6.4%","7.1%","7.6%","6.6%","6.5%","6.6%","6.3%","6.4%","6.4%","6.3%","7.2%","7.4%","7.0%","6.9%","6.8%","7.1%","5.8%","6.0%","5.6%","6.2%","6.5%","5.9%","6.8%","7.1%","6.5%","5.9%","6.2%","5.6%","6.7%","6.9%","6.4%","6.1%","5.9%","6.3%","6.3%","6.6%","6.1%","7.1%","7.4%","6.7%","6.2%","6.3%","6.0%","5.9%","6.2%","5.6%","5.4%","5.9%","5.0%","6.6%","6.9%","6.3%","7.3%","7.3%","7.3%","6.5%","6.7%","6.3%","7.6%","7.8%","7.4%","8.8%","9.0%","8.7%","5.7%","6.1%","5.3%","6.3%","6.6%","6.1%","6.4%","6.6%","6.1%","5.5%","5.7%","5.4%","6.3%","6.5%","6.2%","7.1%","7.6%","6.6%","5.9%","6.3%","5.4%"
"    10 to 14 years","6.8%","7.2%","6.4%","7.2%","7.1%","7.4%","6.8%","7.1%","6.6%","6.6%","6.9%","6.3%","6.6%","6.8%","6.4%","6.8%","7.1%","6.6%","6.4%","6.6%","6.2%","6.2%","6.6%","5.9%","3.6%","4.0%","3.2%","5.9%","6.2%","5.5%","7.1%","7.4%","6.8%","6.2%","6.4%","6.0%","7.7%","8.1%","7.3%","6.7%","7.0%","6.4%","6.8%","7.0%","6.7%","6.4%","6.7%","6.1%","6.9%","7.0%","6.7%","6.7%","7.0%","6.3%","6.6%","6.9%","6.4%","5.8%","6.0%","5.5%","6.4%","6.7%","6.1%","6.0%","6.3%","5.6%","6.5%","6.7%","6.3%","6.7%","6.8%","6.6%","6.9%","7.1%","6.7%","6.6%","6.9%","6.3%","5.9%","6.1%","5.8%","6.8%","6.9%","6.7%","6.5%","6.8%","6.1%","5.9%","6.0%","5.7%","6.6%","6.9%","6.2%","6.9%","7.0%","6.8%","6.0%","6.4%","5.7%","6.5%","6.9%","6.2%","6.2%","6.4%","5.9%","6.6%","6.8%","6.3%","6.8%","7.1%","6.6%","6.1%","6.3%","5.9%","6.0%","6.2%","5.7%","6.0%","6.2%","5.8%","6.2%","6.4%","5.9%","6.6%","7.0%","6.2%","6.5%","6.9%","6.1%","7.4%","7.7%","7.2%","8.6%","8.9%","8.3%","5.5%","5.5%","5.6%","6.3%","6.5%","6.1%","6.4%","6.4%","6.4%","6.0%","6.2%","5.8%","6.5%","6.8%","6.3%","6.6%","6.5%","6.6%","6.9%","7.3%","6.5%"
"    15 to 19 years","6.8%","7.0%","6.6%","7.2%","7.6%","6.8%","6.9%","7.0%","6.7%","6.7%","7.1%","6.3%","6.9%","7.2%","6.7%","6.5%","6.7%","6.3%","7.0%","7.4%","6.7%","6.3%","6.4%","6.1%","5.7%","5.8%","5.6%","6.1%","6.5%","5.8%","7.2%","7.5%","6.9%","5.7%","5.8%","5.6%","7.1%","7.3%","6.8%","6.8%","7.1%","6.6%","6.9%","7.1%","6.7%","7.0%","7.1%","6.9%","7.1%","7.3%","6.9%","6.6%","6.9%","6.3%","6.6%","6.9%","6.3%","6.2%","6.6%","5.9%","6.6%","6.9%","6.3%","6.8%","7.1%","6.6%","7.0%","7.3%","6.7%","6.6%","6.9%","6.4%","7.4%","8.1%","6.7%","6.6%","6.8%","6.4%","6.7%","6.7%","6.6%","7.0%","7.1%","6.8%","6.4%","6.5%","6.3%","6.9%","7.1%","6.7%","6.5%","6.9%","6.1%","7.0%","7.3%","6.8%","6.6%","6.9%","6.3%","6.6%","7.1%","6.2%","6.7%","6.6%","6.8%","6.8%","7.1%","6.5%","6.8%","7.1%","6.6%","6.4%","6.7%","6.0%","6.7%","7.0%","6.4%","7.0%","7.3%","6.8%","6.8%","7.1%","6.4%","6.7%","6.8%","6.6%","6.6%","6.9%","6.2%","7.2%","7.5%","7.0%","7.8%","7.9%","7.7%","7.0%","7.1%","6.8%","6.7%","7.0%","6.4%","6.3%","6.4%","6.2%","6.3%","6.8%","5.8%","6.7%","6.9%","6.5%","6.1%","6.0%","6.2%","7.4%","7.9%","7.0%"
"    20 to 24 years","7.3%","7.7%","7.0%","8.3%","8.7%","7.8%","7.3%","7.6%","7.0%","7.0%","7.1%","6.8%","7.6%","7.9%","7.3%","7.0%","7.3%","6.7%","6.6%","7.0%","6.2%","7.3%","7.7%","6.9%","9.3%","9.2%","9.5%","6.7%","7.0%","6.4%","7.3%","7.6%","7.0%","7.5%","8.3%","6.7%","7.1%","7.5%","6.7%","7.1%","7.3%","6.8%","7.4%","7.6%","7.1%","7.3%","7.6%","7.1%","7.3%","7.8%","6.9%","6.9%","7.3%","6.6%","7.6%","7.9%","7.3%","6.0%","6.4%","5.7%","6.8%","7.3%","6.4%","7.3%","7.5%","7.1%","7.3%","7.6%","7.1%","6.7%","6.8%","6.5%","7.4%","7.5%","7.4%","7.2%","7.4%","7.0%","7.1%","7.3%","7.0%","7.1%","7.3%","6.9%","6.7%","7.0%","6.5%","6.7%","6.8%","6.5%","6.4%","6.7%","6.0%","7.3%","7.5%","7.1%","7.3%","7.6%","7.0%","7.3%","7.8%","6.8%","9.9%","10.7%","9.0%","6.9%","7.1%","6.6%","7.4%","7.7%","7.0%","6.7%","6.8%","6.6%","6.9%","7.1%","6.6%","7.9%","8.3%","7.6%","7.3%","7.7%","7.0%","7.3%","7.7%","6.8%","7.1%","7.3%","6.9%","7.4%","7.7%","7.1%","8.4%","8.5%","8.4%","7.3%","7.6%","7.1%","7.2%","7.6%","6.8%","7.1%","7.5%","6.7%","6.8%","6.8%","6.9%","6.9%","7.1%","6.7%","7.7%","8.2%","7.2%","7.4%","7.8%","7.1%"
"    25 to 29 years","6.3%","6.4%","6.2%","8.3%","8.5%","8.0%","6.6%","7.0%","6.3%","6.5%","6.6%","6.4%","7.4%","7.7%","7.1%","7.4%","7.7%","7.1%","6.2%","6.5%","5.9%","6.6%","6.8%","6.4%","11.8%","11.1%","12.4%","6.3%","6.6%","6.1%","6.7%","6.9%","6.5%","7.6%","8.2%","7.0%","6.4%","6.3%","6.4%","6.9%","7.0%","6.7%","6.3%","6.4%","6.3%","6.1%","6.3%","6.0%","6.6%","6.9%","6.4%","6.4%","6.5%","6.2%","7.2%","7.3%","7.1%","5.8%","5.8%","5.8%","7.0%","7.1%","6.8%","7.0%","7.2%","6.9%","6.0%","6.1%","5.8%","6.7%","6.8%","6.6%","6.1%","6.4%","5.8%","6.6%","6.8%","6.5%","6.2%","6.5%","6.0%","6.6%","6.9%","6.4%","7.1%","7.2%","7.0%","5.7%","5.9%","5.6%","6.4%","6.6%","6.1%","6.5%","6.8%","6.2%","7.3%","7.6%","7.1%","6.4%","6.5%","6.3%","7.3%","7.9%","6.7%","6.3%","6.5%","6.2%","6.8%","6.9%","6.7%","6.7%","6.9%","6.4%","6.5%","6.7%","6.2%","6.7%","7.1%","6.3%","6.4%","6.7%","6.2%","6.6%","6.8%","6.4%","6.5%","6.6%","6.3%","7.2%","7.3%","7.0%","7.3%","7.4%","7.2%","5.6%","5.8%","5.4%","7.0%","7.2%","6.9%","7.1%","7.3%","6.9%","5.5%","5.8%","5.2%","6.3%","6.4%","6.1%","6.9%","6.9%","6.9%","5.9%","6.0%","5.8%"
"    30 to 34 years","6.4%","6.6%","6.2%","7.3%","7.4%","7.1%","6.6%","6.8%","6.5%","6.5%","6.7%","6.3%","7.2%","7.3%","7.0%","7.3%","7.5%","7.2%","6.0%","6.1%","6.0%","6.3%","6.4%","6.1%","10.6%","10.8%","10.5%","6.1%","6.3%","5.9%","6.8%","6.8%","6.8%","6.9%","7.2%","6.7%","6.5%","6.6%","6.5%","7.0%","7.1%","6.9%","6.5%","6.5%","6.4%","6.5%","6.6%","6.3%","6.8%","6.9%","6.6%","6.5%","6.5%","6.4%","7.1%","7.3%","6.9%","5.5%","5.6%","5.4%","6.8%","6.9%","6.7%","6.5%","6.6%","6.4%","5.9%","6.0%","5.9%","6.9%","7.1%","6.8%","6.5%","6.4%","6.5%","6.6%","6.7%","6.4%","6.2%","6.3%","6.1%","6.8%","7.1%","6.5%","7.2%","7.4%","7.0%","5.6%","5.7%","5.5%","6.4%","6.6%","6.3%","6.5%","6.7%","6.3%","6.9%","7.0%","6.8%","6.5%","6.5%","6.5%","6.7%","7.2%","6.2%","6.2%","6.3%","6.1%","6.8%","6.9%","6.7%","7.0%","7.0%","6.9%","6.1%","6.2%","5.9%","6.2%","6.3%","6.1%","6.3%","6.3%","6.3%","6.5%","6.5%","6.5%","6.5%","6.6%","6.4%","7.2%","7.4%","7.1%","7.9%","8.0%","7.8%","5.6%","5.6%","5.6%","6.9%","7.1%","6.8%","7.1%","7.3%","6.9%","6.0%","6.1%","5.9%","6.5%","6.6%","6.3%","7.1%","7.1%","7.0%","6.2%","6.2%","6.3%"
"    35 to 39 years","6.2%","6.0%","6.3%","6.4%","6.5%","6.2%","6.1%","6.3%","6.0%","5.9%","5.9%","5.9%","6.6%","6.7%","6.6%","6.8%","6.9%","6.7%","5.7%","5.7%","5.7%","6.2%","6.1%","6.4%","7.3%","7.3%","7.2%","5.8%","5.9%","5.7%","6.7%","6.6%","6.8%","6.1%","6.1%","6.1%","5.9%","6.1%","5.6%","6.4%","6.5%","6.4%","6.1%","6.2%","6.0%","5.8%","5.8%","5.8%","6.1%","6.2%","6.0%","6.3%","6.5%","6.1%","6.1%","6.2%","5.9%","5.5%","5.6%","5.5%","6.3%","6.2%","6.3%","6.0%","6.1%","5.8%","5.6%","5.7%","5.5%","5.9%","6.0%","5.8%","6.1%","6.0%","6.1%","5.9%","6.1%","5.8%","5.8%","5.9%","5.7%","5.9%","6.0%","5.8%","6.7%","6.8%","6.6%","5.7%","5.5%","5.8%","6.3%","6.4%","6.2%","6.0%","6.1%","5.8%","6.2%","6.4%","6.1%","6.4%","6.6%","6.2%","5.9%","6.3%","5.4%","5.7%","5.9%","5.6%","5.9%","6.0%","5.8%","6.4%","6.5%","6.3%","5.7%","5.8%","5.6%","5.8%","6.0%","5.5%","6.0%","5.9%","6.0%","6.0%","6.1%","5.9%","6.2%","6.3%","6.2%","6.7%","6.7%","6.7%","7.1%","7.2%","7.0%","5.6%","5.6%","5.6%","6.4%","6.6%","6.2%","6.4%","6.6%","6.3%","6.2%","6.2%","6.1%","5.9%","6.0%","5.8%","5.9%","5.8%","5.9%","6.5%","6.5%","6.4%"
