state,11,12,13,15,18
California,22.99,21.62,20.59,18.50,17.61
New Hampshire,12.9,11.11,9.46,9.9,8.8
Maryland,28.76,26.48,24.63,24.43,25.34
Wyoming,1.13,1.20,1.28,1.00,1.12
