state_name,year_id,val,mtf_ratio
Alabama,2011,78.33147516,0.9289183589530653
Alabama,2012,78.16643488,0.9312524563996081
Alabama,2013,78.32158268,0.9272937548610833
Alabama,2014,78.24741476,0.9330429295834285
Alabama,2015,78.17545746,0.9300299219509037
Alabama,2016,78.1392063,0.9285964243278985
Alabama,2017,78.37331134,0.9273017840820506
Alabama,2018,78.34734656,0.927866078582866
Alabama,2019,78.67110161,0.9264608737947988
Alabama                 ,2020,76.4,0.9175392670157066
Alaska,2011,80.89743397,0.9414326378787613
Alaska,2012,81.12935522,0.9434905364702096
Alaska,2013,81.07647008,0.9450637804580649
Alaska,2014,81.52793553,0.9411828289429028
Alaska,2015,81.1504371,0.945946934153975
Alaska,2016,82.22581838,0.9303461738315385
Alaska,2017,82.43284006,0.935988809846181
Alaska,2018,82.20187673,0.9434353163824658
Alaska,2019,82.24221293,0.9504920799800761
Alaska                   ,2020,79.2,0.938131313131313
Arizona,2011,82.09859415,0.9418023471721044
Arizona,2012,82.20580332,0.9398139059508919
Arizona,2013,82.27571537,0.9410083572270008
Arizona,2014,82.40227978,0.9408977595886608
Arizona,2015,82.23492438,0.9387004065729282
Arizona,2016,82.18982059,0.9342760526641514
Arizona,2017,82.2498274,0.9347170196007001
Arizona,2018,82.36237484,0.9313327301333071
Arizona,2019,82.5203275,0.9306017286467991
Arizona                 ,2020,79.5,0.9232704402515723
Arkansas,2011,78.77834885,0.9308046266572646
Arkansas,2012,78.54928515,0.9347696804596571
Arkansas,2013,78.64321847,0.9346869040976573
Arkansas,2014,78.70929265,0.9353688994180028
Arkansas,2015,78.51166535,0.9334546711407898
Arkansas,2016,78.52074137,0.9346999067948307
Arkansas,2017,78.23724325,0.9380300430000131
Arkansas,2018,78.73888141,0.9342755236380237
Arkansas,2019,78.96454946,0.9318300689763728
Arkansas                ,2020,76.6,0.9281984334203656
California,2011,83.16985009,0.9462109047309935
California,2012,83.33124418,0.9459739651759511
California,2013,83.42352335,0.9446702755452488
California,2014,83.78667592,0.9449423639338002
California,2015,83.48140861,0.9449444505486047
California,2016,83.613085,0.944393218716903
California,2017,83.64791406,0.9447817130659479
California,2018,83.9761398,0.9430584870727768
California,2019,84.2746165,0.9413320363196195
California                ,2020,82.0,0.9292682926829269
Colorado,2011,82.29265041,0.948457647689464
Colorado,2012,82.40184024,0.9487722389729971
Colorado,2013,82.50215516,0.9491664289027768
Colorado,2014,82.34659884,0.9473347408260729
Colorado,2015,82.30773646,0.9462675280573497
Colorado,2016,82.32026586,0.941662534251684
Colorado,2017,82.23335161,0.945936252226653
Colorado,2018,82.5698822,0.9412535820476199
Colorado,2019,82.51105957,0.9426945276834238
Colorado                 ,2020,80.9,0.9369592088998763
Connecticut,2011,83.1211661,0.9448273660588118
Connecticut,2012,83.33252474,0.9444493195850818
Connecticut,2013,83.40452452,0.9452039578631724
Connecticut,2014,83.49010366,0.9459830971301012
Connecticut,2015,83.34228457,0.9460688153295724
Connecticut,2016,83.57780664,0.9423643332643455
Connecticut,2017,83.30191245,0.9452715298374881
Connecticut,2018,83.60683827,0.9429040664761882
Connecticut,2019,83.74408736,0.9398598254662501
Connecticut              ,2020,81.3,0.9298892988929889
Delaware,2011,80.44168827,0.9471281631270019
Delaware,2012,80.92119012,0.9466609923358847
Delaware,2013,81.40138567,0.9409686480095026
Delaware,2014,81.03864648,0.9403026866793247
Delaware,2015,81.19661999,0.9382456382960579
Delaware,2016,80.74494116,0.9373605386623829
Delaware,2017,81.3945769,0.9264851748372439
Delaware,2018,80.97026183,0.9300263208745017
Delaware,2019,81.40866069,0.9266610822559154
Delaware                ,2020,79.5,0.9295597484276731
District of Columbia,2011,80.46910543,0.9380889531034519
District of Columbia,2012,80.24723393,0.9414899050091159
District of Columbia,2013,80.16294286,0.9411515199954824
District of Columbia,2014,80.76696404,0.9370038598023795
District of Columbia,2015,80.72522556,0.92679640324315
District of Columbia,2016,80.6705371,0.9249785361848049
District of Columbia,2017,80.59190309,0.9330415655531332
District of Columbia,2018,80.45182753,0.9331848452044729
District of Columbia,2019,81.13817069,0.9263860402667897
District of Columbia        ,2020,78.7,0.9110546378653113
Florida,2011,82.47893265,0.9362294727755548
Florida,2012,82.51200697,0.9379331224865005
Florida,2013,82.50204459,0.9394174125642721
Florida,2014,82.50561112,0.9367244597169648
Florida,2015,82.38287727,0.9340118987082328
Florida,2016,82.1036579,0.9330951103702287
Florida,2017,82.00634286,0.9329535197126578
Florida,2018,82.17478503,0.9335539819421905
Florida,2019,82.35010941,0.9325867377739528
Florida                  ,2020,80.5,0.9267080745341614
Georgia,2011,79.91138785,0.9428400790814196
Georgia,2012,80.03851458,0.9426821586573227
Georgia,2013,80.09452448,0.9397365232974786
Georgia,2014,80.08172813,0.9405025980175484
Georgia,2015,79.89672887,0.9407270455627103
Georgia,2016,80.06382935,0.938023718197286
Georgia,2017,80.17311405,0.9392139098281665
Georgia,2018,80.24091515,0.9402680145030723
Georgia,2019,80.52194539,0.9399141865417366
Georgia                  ,2020,78.3,0.929757343550447
Hawaii,2011,85.35877352,0.924505545543129
Hawaii,2012,85.12552522,0.9274296027656274
Hawaii,2013,84.70391811,0.9329270860573182
Hawaii,2014,85.13610725,0.9291040278330321
Hawaii,2015,84.81555071,0.9336405929940346
Hawaii,2016,85.28464713,0.9303121486691435
Hawaii,2017,85.58684373,0.9242203516645561
Hawaii,2018,84.97448064,0.9349849642105446
Hawaii,2019,85.79602298,0.9266638202860904
Hawaii,2020,83.8,0.9260143198090692
Idaho,2011,81.19435872,0.9515614329369508
Idaho,2012,81.2782763,0.9520620296422304
Idaho,2013,81.48936814,0.9494370083601438
Idaho,2014,81.30864966,0.9524044115087079
Idaho,2015,81.4100223,0.9480202634706808
Idaho,2016,81.31921131,0.9512777743884393
Idaho,2017,81.09615927,0.9485076674704523
Idaho,2018,81.34914708,0.9450752422074442
Idaho,2019,81.21863176,0.9520491726392512
Idaho                   ,2020,80.8,0.9418316831683168
Illinois,2011,81.5092128,0.9410822949329232
Illinois,2012,81.65163856,0.939906585507229
Illinois,2013,81.75019192,0.9416037134852024
Illinois,2014,81.6932041,0.941223522532886
Illinois,2015,81.63793789,0.9421819811720382
Illinois,2016,81.80456071,0.9388931883917697
Illinois,2017,81.67943005,0.939808662144307
Illinois,2018,81.90638721,0.9388252274251421
Illinois,2019,82.25876369,0.9381393799063551
Illinois                  ,2020,79.8,0.924812030075188
Indiana,2011,79.9009078,0.9390381892507109
Indiana,2012,79.93239143,0.9377939920094295
Indiana,2013,79.82525707,0.9373481728268738
Indiana,2014,79.80383203,0.9394809889807745
Indiana,2015,79.55288489,0.9403084101027125
Indiana,2016,79.7050184,0.9335400748116507
Indiana,2017,79.36288851,0.9348881049188515
Indiana,2018,79.51636018,0.9384132715718578
Indiana,2019,79.68190311,0.9371033840258387
Indiana                  ,2020,77.9,0.9281129653401796
Iowa,2011,81.82752202,0.9453266178718386
Iowa,2012,81.9706589,0.9442750376622872
Iowa,2013,81.96948998,0.9410842993999559
Iowa,2014,81.86102187,0.9438758186124753
Iowa,2015,81.71395918,0.9447380788384899
Iowa,2016,81.81287656,0.9419360329358892
Iowa,2017,81.58860477,0.942144567696595
Iowa,2018,81.7724974,0.9414739519744691
Iowa,2019,81.69565077,0.9397000187455634
Iowa                    ,2020,80.1,0.9350811485642948
Kansas,2011,80.79276866,0.9448282455975932
Kansas,2012,80.91025504,0.9433726791772575
Kansas,2013,80.90651113,0.9464342272399258
Kansas,2014,81.01580738,0.942420998310614
Kansas,2015,80.66352796,0.9459618076441991
Kansas,2016,80.87945394,0.9450778756086147
Kansas,2017,80.83203981,0.9411898244659677
Kansas,2018,80.69375416,0.9434185516893047
Kansas,2019,80.77067508,0.9442362273741194
Kansas                  ,2020,79.2,0.9318181818181818
Kentucky,2011,78.55456122,0.9345041473073613
Kentucky,2012,78.3875955,0.9356874757052599
Kentucky,2013,78.68096644,0.9367477444014984
Kentucky,2014,78.53245563,0.9343156891170805
Kentucky,2015,78.26395134,0.9319015488133672
Kentucky,2016,77.84941526,0.9352167825133127
Kentucky,2017,78.04263996,0.9329848697752842
Kentucky,2018,78.27298491,0.9338925250397736
Kentucky,2019,78.38155436,0.9365628768069253
Kentucky                ,2020,76.5,0.922875816993464
Louisiana,2011,78.77546256,0.9323636398079946
Louisiana,2012,78.52226601,0.9318873079984871
Louisiana,2013,78.41923098,0.9293303639841433
Louisiana,2014,78.32521257,0.9314086866320521
Louisiana,2015,78.63580869,0.927213734234441
Louisiana,2016,78.48782548,0.9297115564578131
Louisiana,2017,78.31674089,0.9286003704130901
Louisiana,2018,78.49989383,0.9288986719894523
Louisiana,2019,78.65093664,0.9296521701283074
Louisiana                ,2020,76.4,0.9149214659685864
Maine,2011,81.48642369,0.9423841426903099
Maine,2012,81.78748034,0.9411997493992
Maine,2013,81.52408205,0.9408356014724362
Maine,2014,81.60194998,0.9406363938461364
Maine,2015,80.98242546,0.9433848767315002
Maine,2016,81.53618827,0.9350853908883618
Maine,2017,81.13670802,0.9397433345607901
Maine,2018,81.11450899,0.9408190555577202
Maine,2019,81.40474118,0.935958288492405
Maine                   ,2020,80.7,0.9281288723667906
Maryland,2011,81.73998255,0.9416908001285107
Maryland,2012,81.78185797,0.9422499443368907
Maryland,2013,81.77981553,0.9418817904002676
Maryland,2014,82.03664126,0.9400746603652457
Maryland,2015,82.00241108,0.9363782467943501
Maryland,2016,81.77359683,0.9341766141069962
Maryland,2017,81.76622592,0.9336136296016536
Maryland,2018,81.93585019,0.9341824915773173
Maryland,2019,82.11751401,0.9340532863751753
Maryland                ,2020,79.7,0.9259723964868255
Massachusetts,2011,82.86473727,0.9433961124535163
Massachusetts,2012,83.00712552,0.9459202674242899
Massachusetts,2013,82.84297174,0.945631164534562
Massachusetts,2014,82.89519693,0.9404630244841858
Massachusetts,2015,82.41560226,0.9415970817659594
Massachusetts,2016,82.7018627,0.9374759203579582
Massachusetts,2017,82.54561609,0.9368279342137987
Massachusetts,2018,82.54621406,0.9396760089277922
Massachusetts,2019,82.77665451,0.9400145503657659
Massachusetts            ,2020,81.5,0.9374233128834356
Michigan,2011,80.55647774,0.9405438244772989
Michigan,2012,80.6393278,0.9411203788581184
Michigan,2013,80.53918313,0.9410565618434775
Michigan,2014,80.45587096,0.9409982412301512
Michigan,2015,80.32782408,0.9414241972331537
Michigan,2016,80.324195,0.9392014531860542
Michigan,2017,80.34397309,0.9380748977346844
Michigan,2018,80.3004408,0.9386811648735058
Michigan,2019,80.51460891,0.9394253717924442
Michigan                ,2020,78.8,0.9314720812182742
Minnesota,2011,82.96966659,0.948270518414771
Minnesota,2012,83.04640222,0.9489029492360348
Minnesota,2013,83.01073768,0.9477019214461702
Minnesota,2014,82.93074361,0.9511685156346328
Minnesota,2015,82.73889104,0.9509451551866002
Minnesota,2016,82.92230545,0.9474343536839037
Minnesota,2017,82.75207831,0.9485237917041507
Minnesota,2018,82.78973228,0.9495448654686724
Minnesota,2019,82.81616798,0.9472658771043997
Minnesota,2020,81.4,0.9434889434889434
Mississippi,2011,77.74584312,0.9275080860426073
Mississippi,2012,77.77106187,0.9302141971640795
Mississippi,2013,77.58880912,0.9279815085013384
Mississippi,2014,77.87073447,0.9248935938538861
Mississippi,2015,77.625086,0.9244659181440393
Mississippi,2016,77.77094184,0.9227296181861437
Mississippi,2017,77.66028654,0.9259825038497727
Mississippi,2018,77.86776575,0.924740588951597
Mississippi,2019,77.92421554,0.9199508629406986
Mississippi              ,2020,75.2,0.9122340425531914
Missouri,2011,80.12303409,0.9381697026795656
Missouri,2012,80.29688464,0.9366916974078011
Missouri,2013,80.16892002,0.9394633358065786
Missouri,2014,80.19494208,0.9385793751794677
Missouri,2015,80.06494763,0.9364696762994685
Missouri,2016,80.16157817,0.9351563108079463
Missouri,2017,80.07239289,0.9327074079401849
Missouri,2018,79.92861688,0.9327813924508884
Missouri,2019,80.41801237,0.9308295673311727
Missouri                ,2020,78.1,0.9231754161331626
Montana,2011,80.99921612,0.9421292346452402
Montana,2012,81.16251858,0.9443841405001406
Montana,2013,80.69984923,0.946914701689338
Montana,2014,80.67376905,0.952399040292515
Montana,2015,81.1259609,0.9396268151937539
Montana,2016,80.89391903,0.9442767410201958
Montana,2017,80.70020979,0.948568398510975
Montana,2018,81.02449326,0.9471563816356041
Montana,2019,81.1380145,0.9435752245330086
Montana                ,2020,79.6,0.9321608040201006
Nebraska,2011,81.80740854,0.9471386064272462
Nebraska,2012,81.81786889,0.9460229617329989
Nebraska,2013,81.75242514,0.9492601819102439
Nebraska,2014,81.9589826,0.9420212366081763
Nebraska,2015,81.52902498,0.9456318755058415
Nebraska,2016,81.6797155,0.949429021823662
Nebraska,2017,81.68120002,0.9432377412566815
Nebraska,2018,81.6321794,0.9453636569208147
Nebraska,2019,81.69777256,0.9472122778276147
Nebraska                ,2020,80.3,0.9364881693648818
Nevada,2011,80.49213956,0.943709429581971
Nevada,2012,80.69095624,0.944857012268318
Nevada,2013,80.72318225,0.9462466925974046
Nevada,2014,81.34336451,0.9390212247811534
Nevada,2015,80.9952076,0.9431060471780308
Nevada,2016,81.06427917,0.9392086365233018
Nevada,2017,81.43271356,0.9355714720701983
Nevada,2018,81.80363237,0.9353861895020394
Nevada,2019,82.08976574,0.9331860253156083
Nevada                  ,2020,79.2,0.928030303030303
New Hampshire,2011,82.09671305,0.9488893202405745
New Hampshire,2012,82.51365822,0.946430569249339
New Hampshire,2013,82.28551156,0.9511586773441941
New Hampshire,2014,81.97771695,0.947066705057831
New Hampshire,2015,81.81195612,0.9435148543176037
New Hampshire,2016,81.93194332,0.9356174754772068
New Hampshire,2017,81.85078944,0.937135261550875
New Hampshire,2018,81.78090012,0.9399151829731659
New Hampshire,2019,81.88617538,0.9420570974528766
New Hampshire           ,2020,81.5,0.9386503067484663
New Jersey,2011,82.42146371,0.9447792167824873
New Jersey,2012,82.72064799,0.9426601642364625
New Jersey,2013,82.76986014,0.9427123912982367
New Jersey,2014,82.88043312,0.9438226890868351
New Jersey,2015,82.897693,0.9437115422500357
New Jersey,2016,82.80522365,0.9427896162683693
New Jersey,2017,82.75459709,0.9407627247019444
New Jersey,2018,82.86843987,0.9392106359441227
New Jersey,2019,83.07962309,0.9419560092999455
New Jersey               ,2020,80.5,0.9267080745341614
New Mexico,2011,81.04257418,0.9356784665005564
New Mexico,2012,81.5049606,0.9276584815624094
New Mexico,2013,81.60160569,0.9320097799168687
New Mexico,2014,81.35329345,0.9291499544078998
New Mexico,2015,81.5972223,0.9268025536697713
New Mexico,2016,81.49996444,0.9277882704558392
New Mexico,2017,81.63733773,0.9276728803978356
New Mexico,2018,81.90410682,0.9223392776386791
New Mexico,2019,81.77190425,0.9220842342068853
New Mexico              ,2020,77.8,0.916452442159383
New York,2011,82.90879625,0.9439404370799799
New York,2012,83.10576235,0.943728923148492
New York,2013,83.15711835,0.9442076459350999
New York,2014,83.4380094,0.9435673551675119
New York,2015,83.37832409,0.9434581685173805
New York,2016,83.4996049,0.9405789299728771
New York,2017,83.66021737,0.9409108205141639
New York,2018,83.69254669,0.9428244615649657
New York,2019,84.02093657,0.9408640354078832
New York                ,2020,80.7,0.9268897149938041
North Carolina,2011,80.4811007,0.9388880506451621
North Carolina,2012,80.45793229,0.9404326305239182
North Carolina,2013,80.63070934,0.9400057277233921
North Carolina,2014,80.6623535,0.9392279795059538
North Carolina,2015,80.40228312,0.9406807045157948
North Carolina,2016,80.45391139,0.9389672856774205
North Carolina,2017,80.44744152,0.9373314126000312
North Carolina,2018,80.86695724,0.9347137018605597
North Carolina,2019,80.88442911,0.9354104179570194
North Carolina            ,2020,79.0,0.9278481012658227
North Dakota,2011,81.67379519,0.9423419328189051
North Dakota,2012,82.93416691,0.929749372338634
North Dakota,2013,82.31691975,0.9333834502474809
North Dakota,2014,81.49275995,0.9452883357646055
North Dakota,2015,82.37578066,0.9336992252305046
North Dakota,2016,81.87207605,0.9417493057451303
North Dakota,2017,82.14775397,0.9348107976031131
North Dakota,2018,82.08561639,0.9321004672302248
North Dakota,2019,81.67543502,0.9377703493252849
North Dakota             ,2020,80.0,0.9275
Ohio,2011,79.88303062,0.9419074866841852
Ohio,2012,79.8745769,0.9430883166280659
Ohio,2013,79.97036297,0.9422254970665417
Ohio,2014,80.08708554,0.9387782624759002
Ohio,2015,79.65142651,0.9397220521920318
Ohio,2016,79.56622626,0.9351738875594626
Ohio,2017,79.24372067,0.9331885618792716
Ohio,2018,79.48944947,0.9360826814894785
Ohio,2019,79.63037051,0.9361925602322555
Ohio                    ,2020,78.1,0.9282970550576185
Oklahoma,2011,78.24756541,0.9379618985643273
Oklahoma,2012,78.35924167,0.9400040499396528
Oklahoma,2013,78.20778599,0.9383910646618217
Oklahoma,2014,78.24750023,0.9392005978974902
Oklahoma,2015,78.25261617,0.9367266101462535
Oklahoma,2016,78.40785295,0.9367757660299509
Oklahoma,2017,78.23534083,0.9397978064640331
Oklahoma,2018,78.55688726,0.9362687304115059
Oklahoma,2019,78.78354884,0.9351833114249439
Oklahoma               ,2020,76.9,0.929778933680104
Oregon,2011,81.72120959,0.9464197123125329
Oregon,2012,81.93326326,0.9469618132234027
Oregon,2013,81.79103745,0.9471498949668842
Oregon,2014,81.89871542,0.945606279937913
Oregon,2015,81.55096724,0.9479523036494644
Oregon,2016,81.82223549,0.9443260708691253
Oregon,2017,81.70025405,0.9464326373168725
Oregon,2018,82.1351387,0.9442483332654311
Oregon,2019,82.06923808,0.9433538885121815
Oregon                  ,2020,81.3,0.9384993849938499
Pennsylvania,2011,80.98124126,0.9365946227779516
Pennsylvania,2012,81.15196461,0.93777802762673
Pennsylvania,2013,81.1517645,0.9389516186059024
Pennsylvania,2014,81.35403644,0.9381444359713936
Pennsylvania,2015,80.99603645,0.9380726294786489
Pennsylvania,2016,80.97761751,0.9338470627474502
Pennsylvania,2017,80.82386823,0.9337868990040048
Pennsylvania,2018,81.1583431,0.935169850824616
Pennsylvania,2019,81.29851053,0.9371265305271023
Pennsylvania             ,2020,79.6,0.9296482412060302
Rhode Island,2011,82.34646833,0.9390772042597447
Rhode Island,2012,82.59101004,0.9389462738431477
Rhode Island,2013,82.30115458,0.9370435115225088
Rhode Island,2014,82.30302601,0.9400409214674512
Rhode Island,2015,81.73455543,0.9406622685535538
Rhode Island,2016,82.4545841,0.9378874588247422
Rhode Island,2017,82.15800462,0.9371833806837165
Rhode Island,2018,81.77985966,0.9424482790803558
Rhode Island,2019,82.01803767,0.9400269440755081
Rhode Island             ,2020,80.9,0.9332509270704573
South Carolina,2011,79.66101861,0.9340234898861782
South Carolina,2012,79.62537154,0.9358960784574067
South Carolina,2013,79.74058462,0.9330319025694647
South Carolina,2014,79.63902233,0.93452530333191
South Carolina,2015,79.4162066,0.9328291332666097
South Carolina,2016,79.51997467,0.9302496965948795
South Carolina,2017,79.54239796,0.9293240644715408
South Carolina,2018,79.49844781,0.9297587972617297
South Carolina,2019,79.71618078,0.9290847895033839
South Carolina            ,2020,78.0,0.9192307692307693
South Dakota,2011,81.83635233,0.9367680329991561
South Dakota,2012,81.5789544,0.9450767665146735
South Dakota,2013,81.93341076,0.9407093331653218
South Dakota,2014,82.1688404,0.9332534146362372
South Dakota,2015,81.75383602,0.9360085136712096
South Dakota,2016,81.32210114,0.9388809048177035
South Dakota,2017,81.55503761,0.9352614544150168
South Dakota,2018,81.70162048,0.9335366171674737
South Dakota,2019,81.3020202,0.9401443287875398
South Dakota             ,2020,79.4,0.9345088161209067
Tennessee,2011,79.02538523,0.9327020915554987
Tennessee,2012,78.90155492,0.9348320148416158
Tennessee,2013,78.90475295,0.9355031206646722
Tennessee,2014,78.86399161,0.9338086317540883
Tennessee,2015,78.6353749,0.9364962274758608
Tennessee,2016,78.53069753,0.9348192045786353
Tennessee,2017,78.45070296,0.9315607306573458
