"Label (Grouping)","Alabama!!Estimate","Alabama!!Margin of Error","Alaska!!Estimate","Alaska!!Margin of Error","Arizona!!Estimate","Arizona!!Margin of Error","Arkansas!!Estimate","Arkansas!!Margin of Error","California!!Estimate","California!!Margin of Error","Colorado!!Estimate","Colorado!!Margin of Error","Connecticut!!Estimate","Connecticut!!Margin of Error","Delaware!!Estimate","Delaware!!Margin of Error","District of Columbia!!Estimate","District of Columbia!!Margin of Error","Florida!!Estimate","Florida!!Margin of Error","Georgia!!Estimate","Georgia!!Margin of Error","Hawaii!!Estimate","Hawaii!!Margin of Error","Idaho!!Estimate","Idaho!!Margin of Error","Illinois!!Estimate","Illinois!!Margin of Error","Indiana!!Estimate","Indiana!!Margin of Error","Iowa!!Estimate","Iowa!!Margin of Error","Kansas!!Estimate","Kansas!!Margin of Error","Kentucky!!Estimate","Kentucky!!Margin of Error","Louisiana!!Estimate","Louisiana!!Margin of Error","Maine!!Estimate","Maine!!Margin of Error","Maryland!!Estimate","Maryland!!Margin of Error","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Michigan!!Estimate","Michigan!!Margin of Error","Minnesota!!Estimate","Minnesota!!Margin of Error","Mississippi!!Estimate","Mississippi!!Margin of Error","Missouri!!Estimate","Missouri!!Margin of Error","Montana!!Estimate","Montana!!Margin of Error","Nebraska!!Estimate","Nebraska!!Margin of Error","Nevada!!Estimate","Nevada!!Margin of Error","New Hampshire!!Estimate","New Hampshire!!Margin of Error","New Jersey!!Estimate","New Jersey!!Margin of Error","New Mexico!!Estimate","New Mexico!!Margin of Error","New York!!Estimate","New York!!Margin of Error","North Carolina!!Estimate","North Carolina!!Margin of Error","North Dakota!!Estimate","North Dakota!!Margin of Error","Ohio!!Estimate","Ohio!!Margin of Error","Oklahoma!!Estimate","Oklahoma!!Margin of Error","Oregon!!Estimate","Oregon!!Margin of Error","Pennsylvania!!Estimate","Pennsylvania!!Margin of Error","Rhode Island!!Estimate","Rhode Island!!Margin of Error","South Carolina!!Estimate","South Carolina!!Margin of Error","South Dakota!!Estimate","South Dakota!!Margin of Error","Tennessee!!Estimate","Tennessee!!Margin of Error","Texas!!Estimate","Texas!!Margin of Error","Utah!!Estimate","Utah!!Margin of Error","Vermont!!Estimate","Vermont!!Margin of Error","Virginia!!Estimate","Virginia!!Margin of Error","Washington!!Estimate","Washington!!Margin of Error","West Virginia!!Estimate","West Virginia!!Margin of Error","Wisconsin!!Estimate","Wisconsin!!Margin of Error","Wyoming!!Estimate","Wyoming!!Margin of Error","Puerto Rico!!Estimate","Puerto Rico!!Margin of Error"
"Total:","3,763,783","±3,370","554,598","±588","5,299,649","±1,266","2,280,888","±2,248","30,156,768","±2,512","4,280,033","±1,426","2,824,290","±582","747,828","±234","560,388","±182","16,467,299","±3,958","7,799,761","±3,089","1,120,792","±757","1,246,683","±1,370","9,878,820","±2,483","5,055,520","±3,248","2,407,726","±1,893","2,192,370","±2,390","3,424,517","±3,126","3,564,385","±2,324","1,076,528","±952","4,670,295","±1,207","5,432,832","±1,077","7,737,117","±2,017","4,231,329","±2,282","2,265,573","±2,331","4,702,936","±3,084","813,846","±1,696","1,433,031","±1,247","2,262,556","±815","1,074,954","±1,149","6,960,030","±845","1,591,501","±1,358","15,565,903","±2,412","7,849,894","±3,700","583,358","±1,260","9,005,402","±2,717","2,961,605","±1,308","3,225,219","±1,742","10,109,382","±2,231","847,786","±608","3,861,155","±1,515","651,553","±1,285","5,147,942","±3,130","20,570,902","±3,776","2,129,370","±1,148","505,910","±1,002","6,544,248","±3,041","5,658,939","±1,890","1,454,219","±1,825","4,493,718","±1,991","444,641","±1,641","2,715,431","*****"
"    Male:","1,790,813","±3,203","291,298","±1,697","2,611,425","±1,713","1,104,604","±2,400","14,848,286","±3,664","2,140,793","±2,389","1,360,390","±1,478","356,682","±649","262,728","±428","7,951,948","±4,890","3,735,972","±4,640","559,533","±874","616,842","±1,998","4,796,996","±3,185","2,458,014","±3,433","1,183,019","±2,608","1,081,183","±2,675","1,661,682","±3,800","1,719,143","±2,905","520,512","±1,490","2,228,185","±2,083","2,601,274","±1,522","3,763,553","±2,311","2,087,052","±2,353","1,075,388","±3,008","2,280,183","±3,317","406,644","±2,227","708,362","±2,051","1,126,972","±1,313","529,482","±1,766","3,355,381","±1,070","780,393","±1,758","7,446,482","±3,791","3,756,375","±4,315","299,206","±1,942","4,359,708","±3,544","1,448,149","±1,756","1,581,932","±3,144","4,892,729","±3,168","404,848","±1,078","1,843,725","±2,316","324,744","±1,744","2,473,357","±3,470","10,107,352","±5,194","1,063,819","±2,208","246,774","±1,360","3,180,665","±3,680","2,806,590","±2,405","709,917","±1,988","2,215,906","±2,592","226,138","±1,675","1,266,884","*****"
"        18 to 24 years:","230,768","±3,210","43,948","±1,391","348,374","±1,743","150,963","±2,993","1,988,384","±3,018","278,848","±2,580","184,914","±1,781","43,076","±885","35,999","±4","906,017","±5,589","522,341","±5,479","70,812","±844","82,041","±1,722","617,945","±3,090","340,649","±3,017","163,293","±2,163","159,455","±2,839","220,743","±2,754","227,878","±3,941","56,783","±1,157","278,725","±2,538","350,661","±1,573","501,739","±2,588","257,263","±2,194","157,810","±3,957","301,212","±3,521","51,898","±1,588","96,343","±1,945","128,595","±1,225","65,709","±1,084","407,698","±1,755","103,423","±2,476","961,582","±3,253","500,021","±5,000","46,760","±1,238","553,380","±3,427","203,417","±2,524","186,694","±2,507","602,779","±3,057","56,706","±820","243,309","±3,755","44,638","±1,317","315,075","±3,103","1,448,307","±6,878","176,913","±2,464","34,145","±816","425,937","±4,449","344,153","±2,156","84,919","±1,832","285,358","±2,192","28,264","±1,459","173,136","±2,276"
"            Less than 9th grade","4,413","±1,027","478","±308","7,019","±1,316","2,799","±905","34,115","±3,025","3,671","±1,282","905","±424","1,037","±718","303","±314","18,816","±2,375","12,369","±2,287","252","±214","775","±457","8,845","±1,906","7,213","±1,390","3,043","±759","3,457","±1,085","4,059","±1,196","5,413","±1,386","405","±260","5,961","±1,391","5,049","±1,594","7,545","±1,056","2,456","±781","2,994","±1,254","5,633","±1,390","686","±471","1,053","±538","1,721","±705","1,159","±589","7,175","±1,425","1,949","±774","21,907","±2,587","8,757","±1,606","69","±117","9,096","±1,193","3,777","±888","2,269","±754","10,585","±1,685","556","±474","3,429","±1,195","567","±299","3,902","±913","29,274","±3,318","1,673","±709","656","±497","6,674","±1,784","7,026","±1,235","581","±323","4,740","±1,051","415","±360","5,451","±1,336"
"            9th to 12th grade, no diploma","31,538","±3,058","6,312","±1,163","54,605","±3,832","22,705","±2,606","230,411","±9,530","35,821","±3,212","18,417","±2,030","7,741","±1,597","3,390","±991","145,648","±6,755","82,613","±4,570","5,010","±1,062","10,373","±1,895","75,000","±3,996","53,171","±3,807","19,041","±2,304","17,828","±1,930","27,269","±2,810","43,764","±3,404","7,376","±1,368","32,298","±2,828","39,278","±2,692","70,580","±3,682","31,640","±2,424","24,279","±2,613","42,785","±3,062","6,256","±1,223","9,829","±1,566","21,352","±2,364","6,687","±1,225","43,033","±3,740","18,581","±2,629","104,663","±4,932","72,695","±4,364","3,266","±712","76,504","±3,711","32,504","±2,484","23,661","±2,697","74,084","±4,167","7,679","±1,278","34,136","±3,704","7,113","±1,215","36,797","±3,242","211,401","±8,655","22,726","±2,857","3,622","±829","44,037","±3,488","48,767","±3,301","11,252","±1,794","29,233","±2,471","4,543","±1,145","12,142","±1,737"
"            High school graduate (includes equivalency)","80,078","±4,879","18,445","±1,748","124,258","±5,499","54,558","±3,599","656,272","±12,648","98,534","±4,631","61,850","±3,778","16,672","±2,122","11,596","±1,736","301,391","±9,117","185,688","±8,147","32,353","±2,330","34,074","±3,269","198,104","±6,277","108,357","±4,582","50,387","±3,205","50,486","±3,287","86,729","±4,706","87,890","±4,406","18,757","±1,622","91,030","±4,224","105,510","±5,344","156,020","±4,933","80,659","±4,149","55,749","±3,844","105,107","±4,512","20,222","±2,501","31,344","±2,438","51,052","±3,910","22,305","±2,160","128,910","±5,466","32,146","±2,613","274,237","±7,068","182,325","±5,716","16,584","±1,970","211,555","±6,793","77,797","±3,498","64,681","±3,467","219,425","±6,243","18,088","±1,983","91,474","±5,439","14,043","±1,565","125,497","±5,694","507,736","±11,768","61,030","±3,636","11,164","±1,385","142,467","±5,639","117,963","±5,082","33,665","±2,271","99,963","±4,480","9,675","±1,472","54,728","±3,139"
"            Some college, no degree","91,193","±4,399","15,138","±1,629","126,765","±5,394","55,844","±3,109","814,609","±13,026","104,612","±4,708","71,440","±4,037","12,975","±1,955","13,497","±1,693","302,414","±10,620","184,795","±7,922","23,486","±2,121","29,117","±2,887","233,623","±7,230","131,610","±5,369","62,199","±2,815","64,996","±4,073","80,013","±4,455","71,232","±4,459","22,741","±2,013","105,157","±4,348","139,408","±5,627","202,222","±4,904","97,005","±4,553","58,075","±4,129","110,133","±5,339","18,864","±1,937","41,228","±2,837","44,199","±3,557","24,042","±1,946","146,500","±4,851","40,494","±3,391","370,682","±7,714","177,091","±6,989","18,743","±1,946","194,491","±5,934","66,817","±3,956","71,741","±3,326","214,672","±7,582","19,266","±2,084","88,522","±5,578","17,511","±1,901","114,862","±5,272","543,739","±14,190","71,985","±3,908","15,760","±1,467","166,928","±6,082","111,694","±5,154","31,426","±2,492","109,674","±4,930","10,235","±1,354","75,583","±3,852"
"            Associate's degree","9,618","±1,996","1,272","±552","13,264","±1,792","6,014","±1,556","82,347","±4,911","10,422","±1,806","4,943","±1,247","1,699","±584","361","±239","71,452","±4,762","17,590","±3,000","4,108","±1,084","3,528","±1,120","31,388","±2,644","10,562","±1,573","14,418","±2,428","8,675","±1,529","6,934","±1,355","4,941","±1,242","1,671","±574","14,305","±2,093","10,753","±1,914","22,416","±2,574","17,545","±1,962","11,196","±2,219","14,779","±2,339","2,374","±890","5,097","±1,133","4,667","±1,079","2,212","±799","24,177","±2,940","5,744","±1,676","59,080","±3,559","20,080","±2,802","3,205","±869","18,170","±2,220","10,834","±1,818","8,502","±1,995","22,951","±2,607","3,477","±1,078","7,716","±1,789","2,756","±758","8,211","±1,453","56,405","±4,671","11,511","±2,072","840","±386","18,940","±2,429","22,491","±3,024","3,277","±1,013","14,299","±1,887","1,759","±790","13,955","±2,330"
"            Bachelor's degree","12,526","±2,085","2,138","±825","21,045","±2,811","8,370","±1,540","155,681","±6,187","24,617","±2,945","25,094","±2,743","2,786","±753","6,508","±1,550","61,465","±4,880","36,662","±3,668","5,456","±1,060","4,174","±968","66,665","±4,293","28,159","±2,969","13,391","±1,803","13,001","±2,311","15,126","±2,491","14,029","±2,537","5,627","±1,153","28,388","±2,747","46,914","±3,962","40,829","±3,225","26,780","±2,573","4,925","±1,199","21,062","±2,199","3,496","±1,169","7,216","±1,428","5,241","±1,143","8,747","±1,358","53,378","±3,267","4,234","±1,535","119,745","±4,447","37,413","±3,614","4,745","±1,437","41,229","±2,929","11,026","±1,648","14,537","±2,066","55,766","±3,735","6,687","±1,314","17,651","±1,901","2,428","±741","24,302","±2,944","92,686","±5,530","7,144","±1,466","2,080","±858","43,679","±3,780","34,108","±2,871","4,539","±979","25,297","±2,872","1,512","±717","11,157","±1,681"
"            Graduate or professional degree","1,402","±704","165","±197","1,418","±577","673","±456","14,949","±2,537","1,171","±548","2,265","±864","166","±154","344","±269","4,831","±1,314","2,624","±1,126","147","±178","0","±198","4,320","±865","1,577","±631","814","±401","1,012","±553","613","±345","609","±409","206","±156","1,586","±550","3,749","±1,123","2,127","±738","1,178","±539","592","±564","1,713","±610","0","±168","576","±369","363","±237","557","±541","4,525","±1,400","275","±215","11,268","±2,168","1,660","±590","148","±211","2,335","±893","662","±309","1,303","±546","5,296","±1,500","953","±613","381","±265","220","±244","1,504","±730","7,066","±1,631","844","±449","23","±40","3,212","±867","2,104","±1,040","179","±263","2,152","±711","125","±219","120","±186"
