"Label (Grouping)","Alabama!!Estimate","Alabama!!Margin of Error","Alaska!!Estimate","Alaska!!Margin of Error","Arizona!!Estimate","Arizona!!Margin of Error","Arkansas!!Estimate","Arkansas!!Margin of Error","California!!Estimate","California!!Margin of Error","Colorado!!Estimate","Colorado!!Margin of Error","Connecticut!!Estimate","Connecticut!!Margin of Error","Delaware!!Estimate","Delaware!!Margin of Error","District of Columbia!!Estimate","District of Columbia!!Margin of Error","Florida!!Estimate","Florida!!Margin of Error","Georgia!!Estimate","Georgia!!Margin of Error","Hawaii!!Estimate","Hawaii!!Margin of Error","Idaho!!Estimate","Idaho!!Margin of Error","Illinois!!Estimate","Illinois!!Margin of Error","Indiana!!Estimate","Indiana!!Margin of Error","Iowa!!Estimate","Iowa!!Margin of Error","Kansas!!Estimate","Kansas!!Margin of Error","Kentucky!!Estimate","Kentucky!!Margin of Error","Louisiana!!Estimate","Louisiana!!Margin of Error","Maine!!Estimate","Maine!!Margin of Error","Maryland!!Estimate","Maryland!!Margin of Error","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Michigan!!Estimate","Michigan!!Margin of Error","Minnesota!!Estimate","Minnesota!!Margin of Error","Mississippi!!Estimate","Mississippi!!Margin of Error","Missouri!!Estimate","Missouri!!Margin of Error","Montana!!Estimate","Montana!!Margin of Error","Nebraska!!Estimate","Nebraska!!Margin of Error","Nevada!!Estimate","Nevada!!Margin of Error","New Hampshire!!Estimate","New Hampshire!!Margin of Error","New Jersey!!Estimate","New Jersey!!Margin of Error","New Mexico!!Estimate","New Mexico!!Margin of Error","New York!!Estimate","New York!!Margin of Error","North Carolina!!Estimate","North Carolina!!Margin of Error","North Dakota!!Estimate","North Dakota!!Margin of Error","Ohio!!Estimate","Ohio!!Margin of Error","Oklahoma!!Estimate","Oklahoma!!Margin of Error","Oregon!!Estimate","Oregon!!Margin of Error","Pennsylvania!!Estimate","Pennsylvania!!Margin of Error","Rhode Island!!Estimate","Rhode Island!!Margin of Error","South Carolina!!Estimate","South Carolina!!Margin of Error","South Dakota!!Estimate","South Dakota!!Margin of Error","Tennessee!!Estimate","Tennessee!!Margin of Error","Texas!!Estimate","Texas!!Margin of Error","Utah!!Estimate","Utah!!Margin of Error","Vermont!!Estimate","Vermont!!Margin of Error","Virginia!!Estimate","Virginia!!Margin of Error","Washington!!Estimate","Washington!!Margin of Error","West Virginia!!Estimate","West Virginia!!Margin of Error","Wisconsin!!Estimate","Wisconsin!!Margin of Error","Wyoming!!Estimate","Wyoming!!Margin of Error","Puerto Rico!!Estimate","Puerto Rico!!Margin of Error"
"        25 to 34 years:","311,439","±4,932","63,053","±1,573","480,789","±2,451","188,790","±3,301","3,029,898","±4,208","436,257","±3,064","219,757","±1,563","63,755","±1,065","73,065","±182","1,342,444","±6,423","688,568","±6,445","108,182","±1,092","111,353","±2,355","890,872","±3,385","429,367","±3,950","201,220","±2,461","190,076","±3,107","282,930","±2,791","334,473","±5,465","78,332","±1,265","411,881","±3,432","476,052","±1,963","629,228","±2,685","379,166","±2,759","182,749","±4,880","399,425","±3,988","64,300","±1,611","131,512","±2,134","215,858","±1,862","82,777","±1,298","584,094","±2,259","144,323","±2,968","1,439,659","±2,918","645,539","±5,843","62,506","±1,935","754,866","±3,799","269,058","±2,543","289,728","±2,746","850,138","±4,227","72,596","±959","318,387","±4,658","58,513","±2,042","440,039","±3,970","2,053,685","±8,334","227,319","±2,536","36,025","±788","577,066","±4,773","554,725","±3,242","107,972","±1,821","373,194","±2,634","41,722","±2,049","201,969","±4,069"
"            Less than 9th grade","11,128","±1,728","606","±515","20,125","±2,413","5,930","±1,458","146,742","±6,976","10,872","±2,228","6,602","±1,195","3,044","±816","1,257","±773","52,248","±5,722","32,087","±3,421","855","±527","1,596","±666","28,561","±3,164","15,718","±1,838","5,151","±1,247","5,419","±1,130","10,008","±1,769","17,255","±2,786","797","±400","15,780","±2,454","12,859","±2,248","16,866","±2,066","8,364","±1,413","5,444","±1,213","9,553","±1,766","1,195","±557","5,896","±1,457","9,943","±1,816","674","±386","23,414","±2,715","3,446","±1,080","53,741","±5,165","24,494","±2,358","321","±223","17,715","±2,424","8,208","±1,396","7,672","±1,815","19,473","±2,291","1,475","±878","9,139","±1,672","1,565","±619","10,866","±1,861","110,076","±7,416","5,285","±1,134","1,031","±662","14,959","±2,205","16,060","±2,306","1,434","±610","7,564","±1,262","970","±592","10,200","±1,959"
"            9th to 12th grade, no diploma","35,051","±3,020","3,571","±767","52,822","±4,166","17,220","±2,284","261,873","±9,263","29,878","±3,118","10,024","±1,848","6,058","±1,263","3,917","±1,396","116,663","±6,679","68,561","±5,041","4,482","±1,231","9,529","±1,768","54,791","±4,160","37,151","±3,334","10,317","±1,572","13,039","±1,578","23,163","±2,583","40,297","±3,357","4,599","±1,285","26,407","±2,929","27,515","±3,375","43,847","±3,323","17,135","±1,802","22,491","±2,754","24,995","±2,784","4,605","±1,005","7,745","±1,249","20,052","±2,637","5,531","±1,146","27,414","±3,015","16,626","±2,182","99,597","±5,694","52,813","±4,184","3,194","±1,136","54,150","±4,254","23,144","±2,090","19,849","±2,384","53,440","±3,879","2,668","±981","36,421","±3,497","4,256","±1,049","32,322","±3,102","188,183","±7,046","14,261","±1,967","2,940","±775","34,350","±2,806","36,234","±3,258","10,336","±1,431","21,212","±2,197","2,309","±831","14,815","±1,828"
"            High school graduate (includes equivalency)","96,329","±5,087","21,319","±1,993","124,573","±5,195","66,578","±3,770","720,844","±14,210","99,708","±4,543","63,978","±3,634","19,419","±2,206","10,499","±1,668","406,977","±12,200","196,484","±7,649","35,400","±3,083","35,671","±3,038","207,963","±7,357","131,328","±5,620","51,036","±3,110","45,835","±3,228","87,221","±4,681","110,906","±6,348","27,058","±2,607","108,374","±4,571","110,435","±4,553","166,552","±5,808","86,404","±3,984","56,680","±3,828","117,554","±5,087","18,856","±1,887","31,623","±2,588","75,758","±4,135","22,534","±2,173","150,415","±6,084","44,834","±3,076","335,359","±9,419","164,972","±7,078","16,333","±1,916","221,588","±7,099","88,306","±3,707","73,093","±4,909","260,272","±7,381","19,215","±2,224","93,991","±5,788","14,506","±1,732","150,902","±5,651","569,585","±12,876","54,787","±3,747","9,845","±1,110","144,338","±6,086","140,264","±5,329","41,489","±2,584","101,132","±4,011","13,716","±1,874","64,899","±4,430"
"            Some college, no degree","75,675","±4,546","19,029","±2,199","125,626","±5,061","45,183","±3,479","728,119","±13,073","99,521","±5,149","42,466","±3,280","11,050","±1,756","6,395","±1,411","288,756","±10,040","159,853","±6,492","27,858","±2,032","28,059","±2,944","194,470","±7,778","95,444","±4,743","47,788","±2,722","51,456","±2,995","70,936","±3,694","73,748","±5,167","17,261","±1,889","82,787","±4,619","75,710","±4,489","170,131","±6,044","86,238","±3,985","47,461","±3,627","93,421","±4,877","14,762","±1,809","29,894","±2,265","56,444","±3,705","15,099","±1,620","111,727","±5,204","37,353","±3,194","261,172","±9,239","159,236","±6,254","13,839","±1,692","177,427","±7,651","65,492","±3,267","77,080","±4,473","148,343","±6,941","15,385","±1,916","74,918","±4,405","13,682","±1,811","98,277","±6,043","483,509","±11,178","60,677","±3,343","7,145","±1,145","131,098","±5,861","128,662","±5,716","22,005","±2,137","85,187","±4,490","10,474","±1,898","40,901","±3,211"
"            Associate's degree","21,713","±2,708","5,192","±1,115","41,527","±3,181","12,690","±1,762","212,428","±8,352","36,132","±3,157","13,352","±2,201","5,296","±1,243","1,269","±585","142,598","±8,125","43,959","±3,612","11,276","±1,948","11,179","±1,991","69,478","±3,715","32,451","±2,842","24,122","±1,911","17,419","±1,981","24,566","±2,677","15,615","±2,566","7,135","±1,359","25,406","±2,400","27,688","±3,065","48,791","±3,217","48,189","±2,850","17,711","±2,877","34,853","±3,158","6,667","±1,265","15,141","±1,650","15,315","±2,019","7,764","±1,350","38,126","±3,045","12,728","±1,868","117,754","±5,701","55,505","±3,832","10,161","±1,735","65,007","±4,289","20,548","±2,104","24,117","±2,592","72,510","±3,736","5,977","±1,499","25,368","±2,982","8,080","±1,109","31,794","±3,549","140,284","±7,667","21,917","±2,397","2,860","±738","42,990","±3,354","47,379","±3,623","7,054","±1,312","41,389","±2,798","4,277","±1,128","25,458","±2,826"
"            Bachelor's degree","52,086","±4,149","11,078","±1,621","88,603","±4,947","29,751","±3,163","695,404","±13,031","124,376","±5,033","56,648","±3,791","12,686","±2,059","25,248","±2,124","248,645","±9,309","133,107","±6,266","21,520","±2,230","20,173","±2,282","243,705","±6,478","85,864","±4,299","45,445","±3,106","41,175","±2,494","47,541","±2,874","56,691","±2,848","16,274","±2,191","102,395","±4,774","149,206","±5,583","133,095","±4,511","104,312","±4,264","23,774","±2,839","87,134","±4,429","14,776","±1,839","30,352","±2,426","30,292","±3,133","23,302","±1,957","165,074","±6,099","20,104","±2,364","392,593","±10,489","138,492","±5,766","15,035","±1,978","160,985","±5,951","47,256","±3,441","64,162","±3,777","216,833","±6,901","20,106","±2,151","58,340","±4,175","12,545","±1,541","82,915","±4,666","417,124","±11,012","49,234","±3,629","9,566","±1,120","142,832","±5,641","132,969","±4,961","17,764","±2,153","86,959","±4,141","8,498","±1,220","36,360","±3,375"
"            Graduate or professional degree","19,457","±2,311","2,258","±577","27,513","±2,548","11,438","±1,821","264,488","±7,186","35,770","±2,618","26,687","±2,401","6,202","±1,208","24,480","±2,073","86,557","±5,703","54,517","±3,249","6,791","±1,406","5,146","±1,283","91,904","±4,570","31,411","±2,784","17,361","±1,897","15,733","±1,773","19,495","±1,947","19,961","±2,433","5,208","±947","50,732","±3,231","72,639","±4,089","49,946","±3,148","28,524","±2,375","9,188","±1,662","31,915","±2,872","3,439","±963","10,861","±1,514","8,054","±1,196","7,873","±1,336","67,924","±3,937","9,232","±1,592","179,443","±6,281","50,027","±3,891","3,623","±974","57,994","±3,736","16,104","±1,697","23,755","±2,262","79,267","±4,418","7,770","±1,435","20,210","±2,802","3,879","±909","32,963","±3,343","144,924","±5,869","21,158","±2,161","2,638","±635","66,499","±3,629","53,157","±3,526","7,890","±1,590","29,751","±2,674","1,478","±522","9,336","±1,973"
"        35 to 44 years:","291,191","±3,547","46,715","±1,806","428,164","±2,155","181,067","±3,040","2,595,479","±4,058","382,485","±2,910","208,760","±1,386","54,145","±1,039","49,007","±149","1,219,952","±5,839","665,754","±5,653","90,957","±971","102,871","±2,278","825,034","±3,179","403,049","±3,033","186,458","±2,332","180,567","±2,453","277,849","±2,698","286,326","±4,689","74,490","±1,194","372,686","±2,371","404,122","±1,864","572,680","±2,289","346,263","±2,242","179,295","±3,898","364,808","±3,043","63,263","±1,296","118,102","±1,974","197,145","±1,483","75,025","±1,506","569,049","±2,178","125,168","±2,597","1,205,948","±2,592","633,543","±6,487","46,303","±1,720","686,787","±3,465","240,211","±2,272","270,082","±2,500","738,168","±3,190","60,703","±840","296,988","±4,822","50,963","±1,255","411,493","±3,787","1,872,140","±6,270","209,342","±2,134","35,165","±1,001","545,175","±4,768","475,982","±2,662","112,083","±1,535","349,691","±2,479","36,948","±1,134","208,493","±3,698"
"            Less than 9th grade","12,104","±1,965","969","±591","28,781","±2,876","9,272","±2,153","246,204","±9,792","16,069","±2,783","8,327","±1,590","2,962","±883","1,775","±745","64,540","±5,124","40,264","±3,851","2,151","±708","3,550","±922","43,313","±3,175","14,517","±1,694","5,877","±1,206","8,893","±1,457","8,679","±1,683","11,120","±1,715","1,802","±983","21,058","±2,701","16,299","±2,268","16,740","±1,907","10,631","±1,509","6,299","±1,188","9,663","±1,500","673","±440","5,677","±1,228","14,628","±2,079","1,333","±596","30,546","±3,370","5,414","±1,215","74,542","±4,517","37,604","±3,391","503","±236","17,120","±2,257","10,668","±1,362","12,690","±2,244","22,354","±2,769","2,301","±719","15,439","±2,880","1,204","±478","13,790","±1,948","153,275","±8,194","7,973","±1,560","520","±266","21,496","±3,334","19,864","±2,245","2,274","±800","8,942","±1,366","396","±365","18,923","±2,535"
"            9th to 12th grade, no diploma","32,950","±3,199","2,108","±697","38,964","±3,313","15,908","±1,897","251,355","±7,001","25,153","±2,440","12,293","±1,869","4,657","±1,224","2,086","±915","109,449","±7,245","65,008","±4,711","2,988","±977","7,188","±1,464","52,635","±3,994","31,710","±2,818","9,937","±1,580","12,023","±1,794","23,012","±2,290","35,883","±3,664","3,201","±906","20,531","±2,593","20,050","±2,527","37,657","±2,763","15,390","±1,919","21,579","±2,632","27,082","±2,504","3,257","±878","6,945","±1,321","19,868","±2,350","4,920","±1,207","29,334","±2,997","14,645","±1,895","88,777","±4,590","53,303","±3,868","2,910","±1,229","48,700","±3,626","23,440","±2,544","19,491","±2,464","46,562","±2,730","3,895","±1,094","31,899","±3,501","2,771","±562","35,348","±3,383","191,561","±7,779","12,572","±1,699","2,064","±1,054","31,409","±3,666","34,151","±3,401","10,348","±1,622","21,869","±2,497","1,724","±813","19,926","±2,504"
"            High school graduate (includes equivalency)","85,672","±4,245","15,401","±2,170","100,765","±6,098","65,437","±3,549","554,756","±11,847","88,533","±4,882","57,117","±3,461","18,086","±2,228","7,783","±1,391","356,897","±9,986","182,453","±7,305","24,845","±2,095","27,204","±2,877","219,201","±7,385","130,296","±5,185","51,023","±3,079","44,774","±2,935","91,809","±4,011","101,675","±5,831","25,475","±2,237","92,049","±5,302","94,391","±5,232","164,243","±4,971","80,192","±3,989","58,239","±4,144","109,229","±4,855","17,661","±1,859","27,184","±2,283","60,846","±4,088","20,231","±2,196","147,895","±4,905","34,125","±2,914","310,107","±8,998","159,461","±5,820","11,980","±1,380","215,936","±6,751","76,891","±3,394","60,364","±3,843","239,766","±6,330","17,365","±1,964","86,348","±4,951","12,797","±1,685","143,204","±6,139","478,508","±10,421","44,583","±3,027","10,746","±1,194","132,683","±6,355","102,935","±5,352","47,629","±2,633","99,345","±3,880","11,282","±1,645","65,779","±4,626"
"            Some college, no degree","62,300","±3,862","13,126","±1,623","104,416","±4,467","40,528","±3,527","496,683","±12,691","72,411","±4,148","36,286","±2,587","9,058","±1,506","5,092","±1,190","228,416","±9,124","130,155","±6,829","22,484","±2,528","21,308","±1,927","158,907","±6,087","80,519","±4,269","39,962","±2,777","40,153","±2,802","61,845","±4,243","57,233","±4,232","15,934","±2,290","65,922","±3,994","63,036","±3,944","138,196","±5,693","70,882","±3,945","43,008","±3,229","80,432","±4,455","16,003","±1,888","25,291","±2,097","45,003","±3,491","15,118","±2,156","95,352","±4,237","30,548","±3,052","185,575","±6,171","129,521","±5,343","9,831","±1,583","148,025","±5,862","55,835","±3,393","62,216","±4,072","122,524","±4,659","12,244","±1,746","61,157","±4,310","12,385","±1,578","86,456","±5,022","390,049","±12,730","48,525","±3,541","6,516","±744","106,691","±5,395","105,658","±4,728","19,756","±1,926","74,814","±4,301","8,718","±1,394","29,338","±2,759"
"            Associate's degree","25,248","±2,772","2,947","±745","35,547","±2,856","9,757","±1,755","175,075","±6,820","31,055","±2,916","11,856","±1,866","3,305","±1,078","1,635","±669","120,186","±6,397","46,367","±4,877","10,600","±1,580","10,097","±1,860","65,762","±4,429","36,269","±3,088","21,365","±1,926","14,282","±1,976","24,706","±2,681","19,567","±2,272","7,209","±1,302","22,543","±2,324","25,293","±2,885","45,789","±3,255","42,053","±3,020","17,312","±2,167","30,627","±2,434","6,581","±1,001","14,778","±1,634","14,471","±1,990","8,037","±1,337","36,177","±3,488","11,224","±1,525","105,074","±4,528","54,333","±4,109","6,567","±1,084","53,871","±3,519","17,086","±1,852","24,381","±2,312","57,683","±3,152","4,069","±985","22,859","±2,479","8,794","±1,290","28,805","±2,855","125,650","±6,580","19,456","±2,079","3,028","±649","40,775","±3,708","44,721","±2,975","7,702","±1,106","42,120","±2,756","5,012","±1,007","26,610","±2,444"
