,state,year,abortion_occurrences
209,Georgia,2015,30013
210,Hawaii,2015,2147
211,Idaho,2015,1353
212,Illinois,2015,38472
213,Indiana,2015,8118
214,Iowa,2015,4020
215,Kansas,2015,7219
216,Kentucky,2015,3442
217,Louisiana,2015,10322
218,Maine,2015,2021
219,Maryland,2015,18374
220,Massachusetts,2015,19354
221,Michigan,2015,27629
222,Minnesota,2015,10123
223,Mississippi,2015,2303
224,Missouri,2015,5060
225,Montana,2015,1690
226,Nebraska,2015,2270
227,Nevada,2015,8132
228,New Hampshire,2015,12873
229,New Jersey,2015,24181
230,New Mexico,2015,4500
231,New York,2015,96711
232,North Carolina,2015,24605
233,North Dakota,2015,1264
234,Ohio,2015,21186
235,Oklahoma,2015,4916
236,Oregon,2015,8231
237,Pennsylvania,2015,32126
238,Rhode Island,2015,2990
239,South Carolina,2015,5714
240,South Dakota,2015,551
241,Tennessee,2015,12373
242,Texas,2015,54148
243,Utah,2015,2948
244,Vermont,2015,1235
245,Virginia,2015,20187
246,Washington,2015,17710
247,West Virginia,2015,1730
248,Wisconsin,2015,5800
249,Wyoming,2015,783
250,Alabama,2016,5899
251,Alaska,2016,1334
252,Arizona,2016,12655
253,Arkansas,2016,3771
254,California,2016,6130
255,Colorado,2016,10114
256,Connecticut,2016,9938
257,Delaware,2016,2785
258,Florida,2016,72023
259,Georgia,2016,31009
260,Hawaii,2016,2026
261,Idaho,2016,1272
262,Illinois,2016,39856
263,Indiana,2016,7957
264,Iowa,2016,3989
265,Kansas,2016,6931
266,Kentucky,2016,3188
267,Louisiana,2016,9362
268,Maine,2016,1836
269,Maryland,2016,12487
270,Massachusetts,2016,18570
271,Michigan,2016,27151
272,Minnesota,2016,9861
273,Mississippi,2016,2613
274,Missouri,2016,4765
275,Montana,2016,1611
276,Nebraska,2016,2004
277,Nevada,2016,7116
278,New Hampshire,2016,19489
279,New Jersey,2016,22991
280,New Mexico,2016,4669
281,New York,2016,93096
282,North Carolina,2016,27631
283,North Dakota,2016,1166
284,Ohio,2016,20976
285,Oklahoma,2016,4709
286,Oregon,2016,8610
287,Pennsylvania,2016,31818
288,Rhode Island,2016,2649
289,South Carolina,2016,5778
290,South Dakota,2016,444
291,Tennessee,2016,11411
292,Texas,2016,53940
293,Utah,2016,3176
294,Vermont,2016,1265
295,Virginia,2016,18663
296,Washington,2016,17098
297,West Virginia,2016,1516
298,Wisconsin,2016,5660
299,Wyoming,2016,934
300,Alabama,2017,6642
301,Alaska,2017,1260
302,Arizona,2017,13332
303,Arkansas,2017,3207
304,California,2017,6738
305,Colorado,2017,8333
306,Connecticut,2017,10031
307,Delaware,2017,2170
308,Florida,2017,69770
309,Georgia,2017,33811
310,Hawaii,2017,2554
311,Idaho,2017,1289
312,Illinois,2017,38382
313,Indiana,2017,7277
314,Iowa,2017,3722
315,Kansas,2017,6790
316,Kentucky,2017,3312
317,Louisiana,2017,8973
318,Maine,2017,2021
319,Maryland,2017,17637
320,Massachusetts,2017,17901
321,Michigan,2017,26395
322,Minnesota,2017,10017
323,Mississippi,2017,2569
324,Missouri,2017,4562
325,Montana,2017,1618
326,Nebraska,2017,1907
327,Nevada,2017,7284
328,New Hampshire,2017,16357
329,New Jersey,2017,24470
330,New Mexico,2017,4573
331,New York,2017,87325
332,North Carolina,2017,27138
333,North Dakota,2017,1160
334,Ohio,2017,20672
335,Oklahoma,2017,4294
336,Oregon,2017,8942
337,Pennsylvania,2017,30881
338,Rhode Island,2017,2479
339,South Carolina,2017,5736
340,South Dakota,2017,472
341,Tennessee,2017,11235
342,Texas,2017,53481
343,Utah,2017,3008
344,Vermont,2017,1298
345,Virginia,2017,17058
346,Washington,2017,17080
347,West Virginia,2017,1428
348,Wisconsin,2017,5612
349,Wyoming,2017,639
350,Alabama,2018,6484
351,Alaska,2018,1283
352,Arizona,2018,12438
353,Arkansas,2018,3069
354,California,2018,6648
355,Colorado,2018,8975
356,Connecticut,2018,9294
357,Delaware,2018,1740
358,Florida,2018,70239
359,Georgia,2018,33918
360,Hawaii,2018,2121
