state_name,sex_ratio,year
Montana,101.0,2015
Nebraska,98.8,2015
Nevada,100.3,2015
New Hampshire,97.7,2015
New Jersey,95.5,2015
New Mexico,98.6,2015
New York,94.5,2015
North Carolina,95.1,2015
North Dakota,105.3,2015
Ohio,95.9,2015
Oklahoma,98.4,2015
Oregon,97.8,2015
Pennsylvania,95.7,2015
Rhode Island,94.0,2015
South Carolina,95.0,2015
South Dakota,101.1,2015
Tennessee,95.0,2015
Texas,98.4,2015
Utah,101.1,2015
Vermont,97.2,2015
Virginia,96.9,2015
Washington,100.0,2015
West Virginia,97.1,2015
Wisconsin,98.8,2015
Wyoming,101.4,2015
Alabama,94.0,2016
Alaska,111.2,2016
Arizona,98.8,2016
Arkansas,96.7,2016
California,98.6,2016
Colorado,101.5,2016
Connecticut,95.3,2016
Delaware,93.6,2016
Florida,95.5,2016
Georgia,94.8,2016
Hawaii,101.1,2016
Idaho,99.9,2016
Illinois,96.6,2016
Indiana,97.1,2016
Iowa,98.6,2016
Kansas,99.3,2016
Kentucky,96.6,2016
Louisiana,95.9,2016
Maine,95.6,2016
Maryland,94.2,2016
Massachusetts,94.3,2016
Michigan,96.8,2016
Minnesota,99.1,2016
Mississippi,93.1,2016
Missouri,96.7,2016
Montana,101.8,2016
Nebraska,99.3,2016
Nevada,100.4,2016
New Hampshire,99.2,2016
New Jersey,95.5,2016
New Mexico,98.0,2016
New York,94.3,2016
North Carolina,94.6,2016
North Dakota,106.1,2016
Ohio,96.1,2016
Oklahoma,98.1,2016
Oregon,98.0,2016
Pennsylvania,96.0,2016
Rhode Island,93.8,2016
South Carolina,94.1,2016
South Dakota,101.4,2016
Tennessee,95.4,2016
Texas,98.6,2016
Utah,101.7,2016
Vermont,97.2,2016
Virginia,96.7,2016
Washington,99.8,2016
West Virginia,96.9,2016
Wisconsin,98.9,2016
Wyoming,103.8,2016
Alabama,93.8,2017
Alaska,109.0,2017
Arizona,98.8,2017
Arkansas,97.1,2017
California,98.8,2017
Colorado,101.2,2017
Connecticut,95.3,2017
Delaware,93.8,2017
Florida,95.6,2017
Georgia,94.6,2017
Hawaii,100.7,2017
Idaho,101.0,2017
Illinois,96.7,2017
Indiana,97.2,2017
Iowa,98.7,2017
Kansas,99.5,2017
Kentucky,97.1,2017
Louisiana,95.6,2017
Maine,96.1,2017
Maryland,94.2,2017
Massachusetts,94.5,2017
Michigan,97.1,2017
Minnesota,99.5,2017
Mississippi,94.1,2017
Missouri,96.5,2017
Montana,100.4,2017
Nebraska,99.8,2017
Nevada,101.0,2017
New Hampshire,98.3,2017
New Jersey,95.4,2017
New Mexico,98.1,2017
New York,94.4,2017
North Carolina,94.8,2017
North Dakota,105.8,2017
Ohio,96.0,2017
Oklahoma,98.3,2017
Oregon,98.3,2017
Pennsylvania,96.0,2017
Rhode Island,93.9,2017
South Carolina,94.2,2017
South Dakota,101.7,2017
Tennessee,95.0,2017
Texas,98.7,2017
Utah,101.6,2017
Vermont,97.5,2017
Virginia,96.7,2017
Washington,99.8,2017
West Virginia,97.7,2017
Wisconsin,98.8,2017
Wyoming,104.3,2017
Alabama,94.1,2018
Alaska,108.0,2018
Arizona,98.9,2018
Arkansas,96.1,2018
California,98.9,2018
Colorado,101.2,2018
Connecticut,95.0,2018
Delaware,93.7,2018
Florida,95.5,2018
Georgia,94.8,2018
Hawaii,100.1,2018
Idaho,101.2,2018
Illinois,96.8,2018
Indiana,97.1,2018
Iowa,98.3,2018
Kansas,99.2,2018
Kentucky,96.9,2018
Louisiana,95.5,2018
Maine,96.1,2018
Maryland,94.2,2018
Massachusetts,94.4,2018
Michigan,97.2,2018
Minnesota,99.2,2018
Mississippi,94.0,2018
Missouri,96.2,2018
Montana,101.4,2018
Nebraska,99.3,2018
Nevada,100.7,2018
New Hampshire,97.4,2018
New Jersey,95.4,2018
New Mexico,98.5,2018
New York,94.4,2018
North Carolina,94.8,2018
North Dakota,106.1,2018
Ohio,96.2,2018
Oklahoma,97.8,2018
Oregon,98.5,2018
Pennsylvania,96.0,2018
Rhode Island,95.3,2018
South Carolina,94.4,2018
South Dakota,101.9,2018
Tennessee,95.2,2018
Texas,98.6,2018
Utah,101.5,2018
Vermont,96.8,2018
Virginia,96.9,2018
Washington,100.0,2018
West Virginia,98.2,2018
Wisconsin,98.9,2018
Wyoming,102.6,2018
Alabama,93.5,2019
Alaska,108.4,2019
Arizona,99.0,2019
Arkansas,95.6,2019
California,98.8,2019
Colorado,101.8,2019
Connecticut,95.7,2019
Delaware,93.4,2019
Florida,95.6,2019
Georgia,94.9,2019
Hawaii,100.0,2019
Idaho,101.0,2019
Illinois,96.3,2019
Indiana,97.3,2019
Iowa,99.1,2019
Kansas,98.6,2019
Kentucky,96.9,2019
Louisiana,95.3,2019
Maine,95.4,2019
Maryland,93.9,2019
Massachusetts,94.3,2019
Michigan,96.9,2019
Minnesota,98.9,2019
Mississippi,93.1,2019
Missouri,96.1,2019
Montana,101.0,2019
Nebraska,99.9,2019
Nevada,100.6,2019
New Hampshire,98.0,2019
New Jersey,95.7,2019
New Mexico,97.8,2019
New York,94.5,2019
North Carolina,94.4,2019
North Dakota,103.9,2019
Ohio,96.2,2019
Oklahoma,98.4,2019
Oregon,98.2,2019
Pennsylvania,96.1,2019
Rhode Island,95.4,2019
South Carolina,93.3,2019
South Dakota,103.3,2019
Tennessee,95.1,2019
Texas,98.5,2019
Utah,101.0,2019
Vermont,98.2,2019
Virginia,97.0,2019
Washington,100.0,2019
West Virginia,97.7,2019
Wisconsin,98.7,2019
Wyoming,104.7,2019
Alabama,93.6,2020
Alaska,109.2,2020
Arizona,98.8,2020
Arkansas,96.4,2020
California,98.9,2020
Colorado,101.4,2020
Connecticut,95.2,2020
Delaware,93.6,2020
Florida,95.7,2020
Georgia,94.7,2020
Hawaii,100.6,2020
Idaho,100.6,2020
Illinois,96.6,2020
Indiana,97.2,2020
Iowa,98.7,2020
Kansas,99.4,2020
Kentucky,97.0,2020
Louisiana,95.4,2020
Maine,96.0,2020
Maryland,94.0,2020
Massachusetts,94.3,2020
Michigan,97.0,2020
Minnesota,99.2,2020
Mississippi,93.9,2020
Missouri,96.3,2020
Montana,101.2,2020
Nebraska,99.5,2020
Nevada,100.7,2020
New Hampshire,98.3,2020
New Jersey,95.5,2020
New Mexico,98.0,2020
New York,94.4,2020
North Carolina,94.7,2020
North Dakota,104.9,2020
Ohio,96.1,2020
Oklahoma,98.2,2020
Oregon,98.3,2020
Pennsylvania,96.1,2020
Rhode Island,94.7,2020
South Carolina,94.1,2020
South Dakota,101.5,2020
Tennessee,95.3,2020
Texas,98.7,2020
Utah,101.4,2020
Vermont,97.6,2020
Virginia,96.8,2020
Washington,100.1,2020
West Virginia,97.8,2020
Wisconsin,99.1,2020
Wyoming,103.9,2020
