ID,Year,"First Name","Middle Name","Last Name",party,Level,Position,state,District,race_ethnicity
22c,2011,Jan,,Brewer,Republican,"Statewide Executive",Governor,"Arizona - AZ",,White
7579c,2011,Jennifer,S.,Carroll,Republican,"Statewide Executive","Lt. Governor","Florida - FL",,Black
209688k,2011,Mary,,Fallin,Republican,"Statewide Executive",Governor,"Oklahoma - OK",,White
8572c,2011,Christine,O.,Gregoire,Democrat,"Statewide Executive",Governor,"Washington - WA",,White
282881k,2011,Kimberly,M.,Guadagno,Republican,"Statewide Executive","Lt. Governor","New Jersey - NJ",,White
227511k,2011,Nikki,R.,Haley,Republican,"Statewide Executive",Governor,"South Carolina - SC",,"Asian American/Pacific Islander"
240306k,2011,Kay,E.,Ivey,Republican,"Statewide Executive","Lt. Governor","Alabama - AL",,White
327236k,2011,Rebecca,,Kleefisch,Republican,"Statewide Executive","Lt. Governor","Wisconsin - WI",,White
289086k,2011,Susana,,Martinez,Republican,"Statewide Executive",Governor,"New Mexico - NM",,Latina
811c,2011,Beverly,M.,Perdue,Democrat,"Statewide Executive",Governor,"North Carolina - NC",,White
271917k,2011,Kimberly,,Reynolds,Republican,"Statewide Executive","Lt. Governor","Iowa - IA",,White
5835c,2011,Elizabeth,H.,Roberts,Democrat,"Statewide Executive","Lt. Governor","Rhode Island - RI",,White
15796c,2011,Sheila,,Simon,Democrat,"Statewide Executive","Lt. Governor","Illinois - IL",,White
2651c,2011,Becky,,Skillman,Republican,"Statewide Executive","Lt. Governor","Indiana - IN",,White
10024c,2011,Yvonne,Prettner,Solon,Democrat,"Statewide Executive","Lt. Governor","Minnesota - MN",,White
212485k,2011,Mary,,Taylor,Republican,"Statewide Executive","Lt. Governor","Ohio - OH",,White
240338k,2011,Nancy,,Wyman,Democrat,"Statewide Executive","Lt. Governor","Connecticut - CT",,White
