ID,Year,"First Name","Middle Name","Last Name",party,Level,Position,state,District,race_ethnicity
198090k,2018,Kate,,Brown,Democrat,"Statewide Executive",Governor,"Oregon - OR",,White
240699k,2018,Suzanne,,Crouch,Republican,"Statewide Executive","Lt. Governor","Indiana - IN",,White
520320k,2018,Valerie,J.,Davidson,Independent,"Statewide Executive","Lt. Governor","Alaska - AK",,"Native American/Alaska Native/Native Hawaiian"
209688k,2018,Mary,,Fallin,Republican,"Statewide Executive",Governor,"Oklahoma - OK",,White
195769k,2018,Michelle,L.,Fischbach,Republican,"Statewide Executive","Lt. Governor","Minnesota - MN",,White
212298k,2018,Bethany,A.,Hall-Long,Democrat,"Statewide Executive","Lt. Governor","Delaware - DE",,White
475968k,2018,Jenean,,Hampton,Republican,"Statewide Executive","Lt. Governor","Kentucky - KY",,Black
342834k,2018,Kathy,C.,Hochul,Democrat,"Statewide Executive","Lt. Governor","New York - NY",,White
240306k,2018,Kay,E.,Ivey,Republican,"Statewide Executive",Governor,"Alabama - AL",,White
327236k,2018,Rebecca,,Kleefisch,Republican,"Statewide Executive","Lt. Governor","Wisconsin - WI",,White
582823k,2018,Donna,,Lynne,Democrat,"Statewide Executive","Lt. Governor","Colorado - CO",,White
289086k,2018,Susana,,Martinez,Republican,"Statewide Executive",Governor,"New Mexico - NM",,Latina
220490k,2018,Sheila,Y.,Oliver,Democrat,"Statewide Executive","Lt. Governor","New Jersey - NJ",,Black
209225k,2018,Karyn,E.,Polito,Republican,"Statewide Executive","Lt. Governor","Massachusetts - MA",,White
327244k,2018,Gina,M.,Raimondo,Democrat,"Statewide Executive",Governor,"Rhode Island - RI",,White
271917k,2018,Kimberly,,Reynolds,Republican,"Statewide Executive",Governor,"Iowa - IA",,White
477413k,2018,Evelyn,,Sanguinetti,Republican,"Statewide Executive","Lt. Governor","Illinois - IL",,Latina
212485k,2018,Mary,,Taylor,Republican,"Statewide Executive","Lt. Governor","Ohio - OH",,White
240338k,2018,Nancy,,Wyman,Democrat,"Statewide Executive","Lt. Governor","Connecticut - CT",,White
