state,proportion of women,year
LA,0.16,2011
ME,0.29,2011
MD,0.309,2011
MA,0.245,2011
MI,0.209,2011
MN,0.313,2011
MS,0.149,2011
MO,0.239,2011
MT,0.24,2011
NE,0.224,2011
NV,0.286,2011
NH,0.248,2011
NJ,0.283,2011
NM,0.268,2011
NY,0.212,2011
NC,0.224,2011
ND,0.149,2011
OH,0.227,2011
OK,0.128,2011
OR,0.278,2011
PA,0.174,2011
RI,0.257,2011
SC,0.094,2011
SD,0.2,2011
TN,0.182,2011
TX,0.21,2011
UT,0.173,2011
VT,0.383,2011
VA,0.193,2011
WA,0.32,2011
WV,0.179,2011
WI,0.258,2011
WY,0.144,2011
AL,0.136,2012
AK,0.25,2012
AZ,0.333,2012
AR,0.222,2012
CA,0.283,2012
CO,0.4,2012
CT,0.299,2012
DE,0.258,2012
FL,0.256,2012
GA,0.237,2012
HI,0.355,2012
ID,0.276,2012
IL,0.311,2012
IN,0.213,2012
IA,0.213,2012
KS,0.273,2012
KY,0.188,2012
LA,0.111,2012
ME,0.29,2012
MD,0.309,2012
MA,0.245,2012
MI,0.209,2012
MN,0.328,2012
MS,0.161,2012
MO,0.239,2012
MT,0.24,2012
NE,0.224,2012
NV,0.254,2012
NH,0.245,2012
NJ,0.292,2012
NM,0.277,2012
NY,0.222,2012
NC,0.247,2012
ND,0.156,2012
OH,0.235,2012
OK,0.128,2012
OR,0.289,2012
PA,0.17,2012
RI,0.257,2012
SC,0.1,2012
SD,0.2,2012
TN,0.182,2012
TX,0.21,2012
UT,0.163,2012
VT,0.389,2012
VA,0.171,2012
WA,0.32,2012
WV,0.179,2012
WI,0.242,2012
WY,0.156,2012
AL,0.136,2013
AK,0.283,2013
AZ,0.356,2013
AR,0.17,2013
CA,0.267,2013
CO,0.41,2013
CT,0.294,2013
DE,0.258,2013
FL,0.256,2013
GA,0.225,2013
HI,0.303,2013
ID,0.257,2013
IL,0.311,2013
IN,0.207,2013
IA,0.233,2013
KS,0.236,2013
KY,0.174,2013
LA,0.118,2013
ME,0.296,2013
MD,0.303,2013
MA,0.255,2013
MI,0.189,2013
MN,0.338,2013
MS,0.178,2013
MO,0.218,2013
MT,0.273,2013
NE,0.204,2013
NV,0.286,2013
NH,0.335,2013
NJ,0.292,2013
NM,0.277,2013
NY,0.221,2013
NC,0.218,2013
ND,0.17,2013
OH,0.235,2013
OK,0.134,2013
OR,0.278,2013
PA,0.178,2013
RI,0.265,2013
SC,0.129,2013
SD,0.229,2013
TN,0.167,2013
TX,0.21,2013
UT,0.163,2013
VT,0.411,2013
VA,0.179,2013
WA,0.32,2013
WV,0.164,2013
WI,0.258,2013
WY,0.167,2013
AL,0.143,2014
AK,0.267,2014
AZ,0.356,2014
AR,0.17,2014
CA,0.267,2014
CO,0.41,2014
CT,0.294,2014
DE,0.258,2014
FL,0.256,2014
GA,0.225,2014
HI,0.303,2014
ID,0.267,2014
IL,0.322,2014
IN,0.207,2014
IA,0.233,2014
KS,0.255,2014
KY,0.181,2014
LA,0.125,2014
ME,0.296,2014
MD,0.303,2014
MA,0.25,2014
MI,0.189,2014
MN,0.338,2014
MS,0.172,2014
MO,0.223,2014
MT,0.273,2014
NE,0.204,2014
NV,0.27,2014
NH,0.328,2014
NJ,0.308,2014
NM,0.286,2014
NY,0.207,2014
NC,0.218,2014
ND,0.177,2014
OH,0.235,2014
OK,0.134,2014
OR,0.311,2014
PA,0.178,2014
RI,0.265,2014
SC,0.129,2014
SD,0.219,2014
TN,0.167,2014
TX,0.215,2014
UT,0.163,2014
VT,0.394,2014
VA,0.171,2014
WA,0.327,2014
WV,0.164,2014
WI,0.258,2014
WY,0.156,2014
