0,﻿State,"State Rank",Senate,"Total Women/Total Senate",House,"Total Women/Total House","Total Women/Total Legis.","%Women Overall"
1,AL,46,"3D | 0R | 1Ind",4/35,"12D | 5R",17/105,21/140,15.0
2,AK,12,"1D | 5R",6/20,"4D | 9R",13/40,19/60,31.7
3,AZ,1,"6D | 8R",14/30,"13D | 9R",22/60,36/90,40.0
4,AR,40,"3D | 5R",8/35,"3D | 15R",18/100,26/135,19.3
5,CA,25,"7D | 4R",11/40,"17D | 3R",20/80,31/120,25.8
6,CO,4,"8D | 2R | 1Ind",11/35,"18D | 9R",27/65,38/100,38
7,CT,21,"7D | 2R",9/36,"21D | 21R",42/151,51/187,27.3
8,DE*,34,"3D | 1R",4/21,"7D | 2R",9/41,13/62,21.0
9,FL,26,"6D | 7R",13/40,"14D | 14R",28/120,41/160,25.6
10,GA,23,"11D | 2R",13/56,"32D | 18R",50/180,63/236,26.7
11,HI,16,"7D | 0R",7/25,"12D | 3R",15/51,22/76,28.9
12,ID,13,"4D | 5R",9/35,"7D | 17R",24/70,33/105,31.4
13,IL,6,"13D | 2R",15/59,"34D | 13R",47/118,62/177,35.0
14,IN,37,"2D | 6R",8/50,"11D | 11R",22/100,30/150,20.0
15,IA,31,"5D | 2R",7/50,"19D | 9R",28/100,35/150,23.3
16,KS,18,"4D | 11R",15/40,"15D | 17R",32/125,47/165,28.5
17,KY,42,"2D | 2R",4/38,"10D | 9R",19/100,23/138,16.7
18,LA,45,"3D | 2R",5/39,"7D | 10R",17/105,22/144,15.3
19,ME,7,"6D | 4R",10/35,"35D | 17R | 1Ind",53/151,63/186,33.9
20,MD,8,"10D | 3R",13/47,"39D | 11R",50/141,63/188,33.5
21,MA,29,"10D | 0R",10/40,"30D | 8R | 1Ind",39/160,49/200,24.5
22,MI,27,"1D | 3R",4/38,"17D | 16R",33/110,37/148,25.0
23,MN,11,"10D | 6R",16/67,"28D | 20R",48/134,64/201,31.8
24,MS,48,"4D | 5R",9/52,"9D | 7R",16/122,25/174,14.4
25,MO,32,"6D | 2R",8/34,"16D | 21R",37/163,45/197,22.8
26,MT,20,"11D | 2R",13/50,"21D | 8R",29/100,42/150,28.0
27,NE,24,"0D | 0R | 13Ind",13/49,"0D | 0R",unicameral,13/49,26.5
28,NV,2,"6D | 1R | 1Ind",8/21,"13D | 4R",17/42,25/63,39.7
29,NH,17,"4D | 3R",7/24,"77D | 38R",115/400,122/424,28.8
30,NJ,14,"8D | 2R",10/40,"21D | 6R",27/80,37/120,30.8
31,NM,15,"5D | 2R",7/42,"17D | 10R",27/70,34/112,30.4
32,NY,19,"8D | 7R",15/63,"42D | 3R",45/150,60/213,28.2
33,NC,28,"5D | 8R",13/50,"17D | 12R",29/120,42/170,24.7
34,ND,41,"3D | 6R",9/47,"7D | 10R",17/94,26/141,18.4
35,OH,33,"3D | 3R",6/33,"13D | 10R",23/99,29/132,22.0
36,OK,48,"3D | 3R",6/48,"5D | 8R",13/101,19/149,12.8
37,OR,9,"6D | 2R",8/30,"19D | 3R",22/60,30/90,33.3
38,PA,39,"3D | 4R",7/50,"21D | 21R",42/203,49/253,19.4
39,RI,10,"12D | 1R",13/38,"21D | 2R",23/75,36/113,31.9
40,SC*,43,"2D | 2R",4/46,"12D | 11R",23/124,27/170,15.9
41,SD*,34,"0D | 5R",5/35,"3D | 14R",17/70,22/105,21.0
42,TN*,43,"2D | 3R",5/33,"7D | 9R",16/99,21/132,15.9
43,TX,38,"1D | 6R",7/31,"21D | 8R",29/150,36/181,19.9
44,UT,36,"3D | 2R",5/29,"9D | 7R",16/75,21/104,20.2
45,VT,3,"9D | 2R",11/30,"39D | 13R | 8Ind",60/150,71/180,39.4
46,VA,22,"7D | 3R",10/40,"23D | 5R",28/100,38/140,27.1
47,WA,5,"10D | 9R",19/49,"25D | 11R",36/98,55/147,37.4
48,WV,47,"0D | 4R",4/34,"2D | 14R",16/100,20/134,14.9
49,WI,30,"7D | 2R",9/33,"14D | 9R",23/99,32/132,24.2
50,WY,50,"1D | 2R",3/30,"3D | 4R",7/60,10/90,11.1
51,Totals,,"261D | 173R | 16Ind","450/1,972","883D | 532R | 10Ind","1,425/5,411","1,875/7,383",25.4
