0,﻿State,"State Rank",Senate,"Total Women/Total Senate",House,"Total Women/Total House","Total Women/Total Legis.","%Women Overall"
1,AL,46,"3D | 0R | 1Ind",4/35,"11D | 5R | Ind",16/105,20/140,14.3
2,AK*,11,"1D | 4R ",5/20,"2D | 10R ",12/40,17/60,28.3
3,AZ,3,"6D | 7R | Ind",13/30,"11D | 8R | Ind",19/60,32/90,35.6
4,AR,36,"3D | 4R ",7/35,"5D | 14R ",19/100,26/135,19.3
5,CA*,22,"8D | 3R | Ind",11/40,"11D | 8R | Ind",19/80,30/120,25.0
6,CO,1,"8D | 4R ",12/35,"20D | 10R",30/65,42/100,42.0
7,CT,16,"8D | 1R ",9/36,"23D | 19R",42/151,51/187,27.3
8,DE,28,"5D | 1R ",6/21,"7D | 2R ",9/41,15/62,24.2
9,FL*,22,"6D | 6R ",12/40,"13D | 15R ",28/120,40/160,25.0
10,GA,27,"8D | 2R ",10/56,"28D | 19R",47/180,57/236,24.2
11,HI,14,"8D | 0R ",8/25,"11D | 3R ",14/51,22/76,28.9
12,ID,17,"4D | 6R ",10/35,"7D | 13R",20/70,30/105,28.6
13,IL,6,"12D | 4R ",16/59,"32D | 10R ",42/118,58/177,32.8
14,IN,34,"3D | 6R ",9/50,"12D | 10R ",22/100,31/150,20.7
15,IA,31,"6D | 1R ",7/50,"21D | 6R ",27/100,34/150,22.7
16,KS*,29,"4D | 9R ",13/40,"10D | 17R ",27/125,40/165,24.2
17,KY,42,"2D | 2R ",4/38,"10D | 8R ",18/100,22/138,15.9
18,LA,44,"3D | 2R ",5/39,"9D | 9R ",18/105,23/144,16.0
19,ME,13,"5D | 3R ",8/35,"30D | 16R ",46/151,54/186,29.0
20,MD,7,"11D | 2R ",13/47,"35D | 11R ",46/141,59/188,31.4
21,MA*,22,"12D | 0R ",12/40,"29D | 9R ",38/160,50/200,25.0
22,MI,35,"1D | 3R ",4/38,"16D | 9R ",25/110,29/148,19.6
23,MN,5,"15D | 8R ",23/67,"26D | 18R ",44/134,67/201,33.3
24,MS,50,"4D | 5R ",9/52,"10D | 5R ",15/122,24/174,13.8
25,MO,26,"5D | 1R ",6/34,"19D | 24R ",43/163,49/197,24.9
26,MT,9,"12D | 6R ",18/50,"21D | 8R ",29/100,47/150,31.3
27,NE,32,"0D | 0R | 11Ind",11/49,"0D | 0R | Ind","- - unicameral - -",11/49,22.4
28,NV,8,"2D | 2R ",4/21,"9D | 7R ",16/42,20/63,31.7
29,NH,15,"4D | 4R | Ind",8/24,"68D | 45R ",113/400,121/424,28.5
30,NJ*,11,"8D | 3R ",11/40,"18D | 7R ",25/80,36/120,30.0
31,NM,19,"4D | 3R ",7/42,"13D | 10R ",23/70,30/112,26.8
32,NY*,20,"6D | 5R ",11/63,"37D | 5R | 1Ind",43/150,54/213,25.4
33,NC,30,"7D | 5R ",12/50,"14D | 11R",25/120,37/170,21.8
34,ND,39,"4D | 4R ",8/47,"11D | 8R ",19/94,27/141,19.1
35,OH*,22,"4D | 3R ",7/33,"13D | 12R",25/99,32/132,24.2
36,OK*,47,"3D | 3R ",6/48,"5D | 10R ",15/101,21/149,14.1
37,OR,10,"6D | 2R ",8/30,"16D | 4R ",20/60,28/90,31.1
38,PA,40,"4D | 5R ",9/50,"15D | 23R ",38/203,47/253,18.6
39,RI,18,"9D | 1R ",10/38,"17D | 4R ",21/75,31/113,27.4
40,SC*,47,"1D | 1R ",2/46,"12D | 10R ",22/124,24/170,14.1
41,SD,33,"1D | 6R ",7/35,"4D | 11R ",15/70,22/105,21.0
42,TN,41,"2D | 4R ",6/33,"7D | 9R ",16/99,22/132,16.7
43,TX,37,"2D | 5R ",7/31,"15D | 13R | 1Ind",29/150,36/181,19.9
44,UT,43,"3D | 3R ",6/29,"7D | 3R ",10/75,16/104,15.4
45,VT,2,"7D | 2R ",9/30,"44D | 15R | 6Ind",65/150,74/180,41.1
46,VA*,38,"6D | 3R ",9/40,"14D | 4R ",18/100,27/140,19.3
47,WA,4,"9D | 8R ",17/49,"19D | 13R ",32/98,49/147,33.3
48,WV,44,"0D | 2R ",2/34,"6D | 12R ",18/100,20/134,14.9
49,WI*,20,"7D | 4R ",11/33,"14D | 9R ",23/99,34/132,25.8
50,WY*,49,"1D | 0R ",1/30,"3D | 8R ",11/60,12/90,13.3
51,,,"264D | 167R | 12Ind","443/1,972","816D | 540R | 7Ind","1,363/5,411","1,806/7,383",24.5
