0,﻿State,"State Rank",Senate,"Total Women/Total Senate",House,"Total Women/Total House","Total Women/Total Legis.","%Women Overall"
1,AL,45,"3D | 0R | 1Ind",4/35,"12D | 5R",17/105,21/140,15.0
2,AK,15,"1D | 5R",6/20,"3D | 9R",12/40,18/60,30.0
3,AZ*,1,"6D | 8R",14/30,"13D | 9R",22/60,36/90,40.0
4,AR,40,"3D | 4R",7/35,"3D | 15R",18/100,25/135,18.5
5,CA,30,"6D | 3R",9/40,"15D | 3R",18/80,27/120,22.5
6,CO,4,"9D | 2R",11/35,"18D | 8R",26/65,37/100,37.0
7,CT,19,"7D | 2R",9/36,"21D | 22R",43/151,52/187,27.8
8,DE,33,"3D | 1R",4/21,"7D | 2R",9/41,13/62,21.0
9,FL*,26,"5D | 8R",13/40,"14D | 13R",27/120,40/160,25.0
10,GA,22,"11D | 2R",13/56,"32D | 19R",51/180,64/236,27.1
11,HI,21,"7D | 0R",7/25,"11D | 3R",14/51,21/76,27.6
12,ID,13,"4D | 5R",9/35,"7D | 17R",24/70,33/105,31.4
13,IL,6,"13D | 4R",17/59,"33D | 12R",45/118,62/177,35.0
14,IN*,36,"2D | 6R",8/50,"11D | 11R",22/100,30/150,20.0
15,IA*,28,"5D | 1R",6/50,"19D | 9R",28/100,34/150,22.7
16,KS,18,"4D | 11R",15/40,"15D | 17R",32/125,47/165,28.5
17,KY,42,"2D | 2R",4/38,"9D | 10R",19/100,23/138,16.7
18,LA,44,"3D | 2R",5/39,"8D | 9R",17/105,22/144,15.3
19,ME,7,"6D | 4R",10/35,"35D | 17R | 1Ind",53/151,63/186,33.9
20,MD,10,"9D | 2R",11/47,"38D | 11R",49/141,60/188,31.9
21,MA,24,"12D | 0R",12/40,"30D | 8R | 1Ind",39/160,51/200,25.5
22,MI*,26,"1D | 3R",4/38,"17D | 16R",33/110,37/148,25.0
23,MN,9,"9D | 7R",16/67,"28D | 21R",49/134,65/201,32.3
24,MS,46,"4D | 5R",9/52,"10D | 7R",17/122,26/174,14.9
25,MO,31,"5D | 2R",7/34,"17D | 20R",37/163,44/197,22.3
26,MT,17,"12D | 2R",14/50,"21D | 8R",29/100,43/150,28.7
27,NE,23,"0D | 0R | 13Ind",13/49,"0D | 0R","- - unicameral - -",13/49,26.5
28,NV,3,"5D | 2R | 1Ind",8/21,"13D | 4R",17/42,25/63,39.7
29,NH,16,"4D | 3R",7/24,"80D | 39R",119/400,126/424,29.7
30,NJ,12,"8D | 4R",12/40,"18D | 7R",25/80,37/120,30.8
31,NM,14,"5D | 2R",7/42,"17D | 10R",27/70,34/112,30.4
32,NY,20,"7D | 7R",14/63,"42D | 3R ",45/150,59/213,27.7
33,NC,25,"6D | 7R",13/50,"17D | 13R",30/120,43/170,25.3
34,ND,41,"3D | 6R",9/47,"7D | 10R",17/94,26/141,18.4
35,OH,32,"3D | 3R",6/33,"13D | 10R",23/99,29/132,22.0
36,OK*,48,"2D | 4R",6/48,"6D | 8R",14/101,20/149,13.4
37,OR,8,"6D | 2R",8/30,"19D | 3R",22/60,30/90,33.3
38,PA,39,"3D | 4R",7/50,"19D | 21R",40/203,47/253,18.6
39,RI,11,"11D | 1R",12/38,"21D | 2R",23/75,35/113,31.0
40,SC,47,"2D | 2R",4/46,"11D | 9R",20/124,24/170,14.1
41,SD*,36,"0D | 5R",5/35,"3D | 13R",16/70,21/105,20.0
42,TN,43,"2D | 3R",5/33,"7D | 9R",16/99,21/132,15.9
43,TX,34,"2D | 6R",8/31,"21D | 8R",29/150,37/181,20.4
44,UT,35,"3D | 3R",6/29,"9D | 6R",15/75,21/104,20.2
45,VT*,1,"9D | 2R",11/30,"40D | 13R | 8Ind",61/150,72/180,40.0
46,VA,38,"7D | 3R",10/40,"13D | 4R",17/100,27/140,19.3
47,WA,4,"10D | 9R",19/49,"25D | 11R",36/98,55/147,37.4
48,WV,48,"0D | 3R",3/34,"2D | 13R",15/100,18/134,13.4
49,WI*,28,"6D | 2R",8/33,"13D | 9R",22/99,30/132,22.7
50,WY,50,"1D | 2R",3/30,"3D | 4R",7/60,10/90,11.1
51,Totals,,"257D | 176R | 15Ind","448/1,972","865D | 529R | 11Ind","1,405/5,411","1,853/7,383",25.1
