STATE,% WOMEN OVERALL
AL,14.3
AK*,26.7
AZ,35.6
AR,17.0
CA*,26.7
CO,41.0
CT,29.4
DE*,25.8
FL,25.6
GA,22.5
HI*,30.3
ID*,26.7
IL,32.2
IN*,20.7
IA,23.3
KS,25.5
KY,18.1
LA,12.5
ME,29.6
MD*,30.3
MA,25.0
Ml,18.9
MN,33.8
MS,17.2
MO,22.3
MT,27.3
NE,20.4
NV,27.0
NH,32.8
NJ,30.8
NM,28.6
NY*,20.7
NC,21.8
ND,17.7
OH,23.5
OK,13.4
OR,31.1
PA,17.8
RI,26.5
SC,12.9
SD,21.9
TN,16.7
TX,21.5
UT,16.3
VT,39.4
VA,17.1
WA,32.7
WV,16.4
WI*,25.8
WY,15.6
