Label (Grouping),Alabama!!Estimate,Alaska!!Estimate,Arizona!!Estimate,Arkansas!!Estimate,California!!Estimate,Colorado!!Estimate,Connecticut!!Estimate,Delaware!!Estimate,District of Columbia!!Estimate,Florida!!Estimate,Georgia!!Estimate,Hawaii!!Estimate,Idaho!!Estimate,Illinois!!Estimate,Indiana!!Estimate,Iowa!!Estimate,Kansas!!Estimate,Kentucky!!Estimate,Louisiana!!Estimate,Maine!!Estimate,Maryland!!Estimate,Massachusetts!!Estimate,Michigan!!Estimate,Minnesota!!Estimate,Mississippi!!Estimate,Missouri!!Estimate,Montana!!Estimate,Nebraska!!Estimate,Nevada!!Estimate,New Hampshire!!Estimate,New Jersey!!Estimate,New Mexico!!Estimate,New York!!Estimate,North Carolina!!Estimate,North Dakota!!Estimate,Ohio!!Estimate,Oklahoma!!Estimate,Oregon!!Estimate,Pennsylvania!!Estimate,Rhode Island!!Estimate,South Carolina!!Estimate,South Dakota!!Estimate,Tennessee!!Estimate,Texas!!Estimate,Utah!!Estimate,Vermont!!Estimate,Virginia!!Estimate,Washington!!Estimate,West Virginia!!Estimate,Wisconsin!!Estimate,Wyoming!!Estimate,Puerto Rico!!Estimate
            Less than 9th grade,"13,347",374,"19,864","6,663","187,092","13,403","6,039","3,512","1,588","58,788","34,570","1,275","4,248","34,221","13,236","5,197","6,039","10,784","15,221","1,128","19,176","12,368","15,178","7,875","5,982","10,214","1,257","3,675","9,731",638,"30,937","5,613","65,960","35,241",738,"19,111","10,375","11,317","19,809","3,244","11,014","1,022","14,408","117,044","4,902",307,"20,612","17,420","1,540","9,671",696,"16,276"
"            9th to 12th grade, no diploma","34,232","3,752","52,527","19,405","296,183","29,874","13,826","4,829","3,625","116,052","79,467","5,164","7,010","64,876","39,435","11,168","16,072","24,212","40,801","4,603","28,337","25,456","50,670","21,060","29,158","34,286","4,559","9,829","21,206","6,504","31,124","19,496","111,780","67,484","1,789","57,067","24,747","24,115","57,976","4,226","32,887","3,534","39,706","212,476","15,256","3,056","36,189","37,852","10,388","24,162","2,584","21,263"
"            High school graduate, GED, or alternative","90,475","19,661","113,766","65,677","661,493","96,553","62,292","16,632","8,765","366,741","193,262","34,965","31,696","227,277","129,982","49,543","50,064","95,145","106,554","25,052","103,897","106,160","175,046","88,922","52,376","112,669","18,730","31,007","63,571","21,904","155,603","40,519","317,324","168,678","14,030","216,570","85,616","72,095","253,841","20,624","89,901","19,250","138,642","527,973","53,581","13,876","149,595","126,123","44,409","112,201","14,469","68,557"
"            Some college, no degree","70,290","18,184","127,164","50,718","681,838","93,747","44,229","11,267","6,742","266,821","155,140","29,474","30,849","196,669","96,242","46,687","49,510","67,699","70,508","18,053","82,129","79,784","149,869","85,434","44,973","99,313","16,862","30,921","54,035","14,926","107,280","38,707","261,783","149,516","12,458","172,347","67,441","68,292","141,181","13,694","64,806","13,079","96,495","468,213","65,029","5,265","128,638","122,917","24,525","88,511","11,710","44,759"
            Associate's degree,"18,969","4,267","37,154","10,571","191,025","29,113","11,816","4,264","1,684","115,586","42,597","11,475","10,630","68,964","35,056","27,997","17,379","21,312","17,579","6,460","21,382","25,057","46,800","46,919","16,410","33,947","5,380","15,220","13,741","6,350","31,394","10,845","102,385","44,762","8,223","53,628","18,901","21,053","67,176","4,717","23,046","6,623","25,068","129,050","22,231","2,304","37,746","45,273","7,025","40,103","4,560","22,564"
            Bachelor's degree,"48,484","7,979","72,683","24,891","585,539","99,413","52,139","11,172","22,183","200,093","121,467","18,635","17,974","215,112","77,476","43,810","42,779","43,364","53,299","14,079","91,462","129,307","107,910","97,019","23,210","73,386","14,211","28,331","30,296","19,432","150,612","17,435","348,611","113,301","11,199","139,134","43,066","54,908","183,993","12,332","53,768","10,807","76,015","321,308","47,663","8,157","137,460","107,635","15,302","75,774","7,790","39,352"
            Graduate or professional degree,"18,070","2,056","27,518","10,646","209,957","32,032","26,035","5,082","20,179","74,395","41,844","4,935","5,721","87,473","25,292","13,766","14,600","18,950","17,114","3,793","48,504","61,023","41,533","26,746","9,327","30,560","2,505","8,133","9,092","5,144","59,000","8,275","156,802","43,536","3,590","55,187","13,819","18,671","69,221","5,198","17,668","3,182","27,489","125,326","17,595","2,219","63,555","37,224","6,993","23,576",670,"8,641"
        35 to 44 years:,"301,980","49,862","419,284","182,914","2,599,560","363,757","222,726","53,618","43,041","1,198,906","675,826","88,703","99,823","845,954","409,509","182,080","175,312","284,878","279,594","79,333","374,596","418,454","608,350","339,970","184,633","363,415","58,466","112,920","193,937","84,084","589,898","124,993","1,245,775","653,712","41,028","710,345","236,922","256,057","771,794","63,595","296,374","48,272","422,324","1,777,548","182,671","36,479","545,420","465,408","115,628","352,787","35,588","228,225"
            Less than 9th grade,"11,016","1,092","27,767","8,838","262,527","20,904","6,885","2,261","1,959","55,526","33,782","1,752","5,550","47,546","16,191","4,981","6,216","12,160","13,360","1,158","16,816","12,441","15,803","9,363","6,041","10,836","1,086","3,488","12,339",685,"25,918","7,159","73,630","41,942",369,"12,671","11,129","10,598","23,670","3,038","11,058","1,629","17,403","156,545","6,717",747,"21,688","22,761","3,457","10,026","1,097","26,575"
"            9th to 12th grade, no diploma","33,598","2,502","37,632","17,162","274,364","18,879","13,563","3,603","1,584","106,259","61,194","5,327","6,076","56,276","33,422","10,544","11,858","25,990","34,139","4,196","23,049","23,819","44,410","16,840","21,625","30,990","3,094","7,733","20,607","5,383","37,714","12,856","102,364","62,974","1,479","51,629","21,708","19,787","49,538","4,282","29,199","2,458","35,321","195,468","13,288","2,026","35,621","30,978","11,454","19,737","2,205","18,654"
