Label (Grouping),Alabama!!Estimate,Alaska!!Estimate,Arizona!!Estimate,Arkansas!!Estimate,California!!Estimate,Colorado!!Estimate,Connecticut!!Estimate,Delaware!!Estimate,District of Columbia!!Estimate,Florida!!Estimate,Georgia!!Estimate,Hawaii!!Estimate,Idaho!!Estimate,Illinois!!Estimate,Indiana!!Estimate,Iowa!!Estimate,Kansas!!Estimate,Kentucky!!Estimate,Louisiana!!Estimate,Maine!!Estimate,Maryland!!Estimate,Massachusetts!!Estimate,Michigan!!Estimate,Minnesota!!Estimate,Mississippi!!Estimate,Missouri!!Estimate,Montana!!Estimate,Nebraska!!Estimate,Nevada!!Estimate,New Hampshire!!Estimate,New Jersey!!Estimate,New Mexico!!Estimate,New York!!Estimate,North Carolina!!Estimate,North Dakota!!Estimate,Ohio!!Estimate,Oklahoma!!Estimate,Oregon!!Estimate,Pennsylvania!!Estimate,Rhode Island!!Estimate,South Carolina!!Estimate,South Dakota!!Estimate,Tennessee!!Estimate,Texas!!Estimate,Utah!!Estimate,Vermont!!Estimate,Virginia!!Estimate,Washington!!Estimate,West Virginia!!Estimate,Wisconsin!!Estimate,Wyoming!!Estimate,Puerto Rico!!Estimate
        18 to 24 years:,"240,526","34,721","313,508","141,283","1,939,280","246,329","164,351","46,516","44,963","885,836","496,550","61,675","78,104","613,100","328,635","153,280","143,813","208,371","236,407","57,553","276,835","344,488","489,085","246,967","161,872","293,254","47,438","90,948","123,646","63,316","379,550","101,955","986,478","477,451","40,213","549,845","189,698","179,846","627,948","60,762","238,295","41,020","311,304","1,296,966","162,268","32,704","401,903","320,689","86,437","273,924","28,154","189,968"
            Less than 9th grade,"3,556",116,"6,725","1,474","27,497","2,768","1,900","1,433",168,"12,557","8,170",370,"1,415","6,290","6,927","2,301","1,515","2,439","4,936",333,"3,320","4,219","5,080","1,361","1,462","3,046",688,589,"1,910",798,"4,322","2,844","14,886","9,756",125,"6,338","3,151","1,183","9,528",259,"1,709",359,"3,049","22,317",959,141,"3,630","4,324",680,"3,484",452,"4,062"
"            9th to 12th grade, no diploma","27,808","4,997","38,739","14,744","212,075","29,352","15,697","4,605","3,434","106,070","69,193","3,867","7,754","65,650","45,572","14,271","16,252","22,215","36,490","5,242","24,462","26,517","51,349","27,408","20,654","31,979","6,299","9,692","19,928","5,244","35,169","18,369","94,770","57,087","3,003","63,051","22,360","16,785","60,699","5,383","28,211","5,034","30,550","175,547","16,318","3,126","35,850","39,670","9,787","26,145","3,300","16,663"
"            High school graduate, GED, or alternative","65,679","12,097","84,886","41,808","502,617","62,049","40,102","11,895","9,608","237,072","135,341","21,042","23,378","150,031","85,807","32,837","34,892","65,240","63,624","15,995","71,141","85,230","124,380","55,743","44,784","77,635","11,723","18,851","39,107","16,301","97,477","23,824","219,977","118,155","8,828","144,325","54,730","47,637","182,963","14,845","69,199","11,270","96,608","357,741","42,868","6,519","109,726","86,829","25,689","70,976","7,393","44,978"
"            Some college, no degree","112,577","13,150","138,391","65,994","879,216","112,536","76,306","21,714","19,050","352,980","217,145","24,664","32,785","263,766","145,044","73,238","69,921","90,819","102,364","27,930","125,733","160,602","233,545","110,400","71,868","132,168","22,804","43,477","47,726","31,553","160,129","47,612","431,563","221,489","20,856","254,953","81,657","89,059","259,572","28,675","108,672","19,070","134,437","562,220","69,885","17,549","180,392","128,329","36,827","129,313","13,659","92,366"
            Associate's degree,"11,112","1,365","19,246","6,543","107,356","8,599","6,100","1,542",645,"92,641","22,719","4,457","5,319","37,892","11,132","11,702","7,495","8,761","7,171","1,668","12,768","9,847","24,978","17,185","13,100","18,525","1,863","6,744","5,169","2,219","20,297","3,100","60,689","24,373","2,857","22,602","11,873","8,416","29,563","3,186","7,908","1,875","13,607","56,870","15,149","1,109","18,267","22,851","4,353","11,750","1,665","15,669"
            Bachelor's degree,"18,834","2,991","23,343","9,761","196,683","29,112","21,808","4,968","10,993","76,930","40,645","6,737","7,107","82,880","31,977","17,815","12,695","17,176","20,493","5,847","36,186","52,139","46,531","34,004","8,988","27,264","4,039","11,087","9,041","6,474","55,731","5,866","145,948","42,642","4,324","53,627","14,837","15,953","79,346","7,818","20,873","2,986","30,277","113,487","16,428","4,051","47,759","37,148","8,395","30,757","1,484","14,891"
            Graduate or professional degree,960,5,"2,178",959,"13,836","1,913","2,438",359,"1,065","7,586","3,337",538,346,"6,591","2,176","1,116","1,043","1,721","1,329",538,"3,225","5,934","3,222",866,"1,016","2,637",22,508,765,727,"6,425",340,"18,645","3,949",220,"4,949","1,090",813,"6,277",596,"1,723",426,"2,776","8,784",661,209,"6,279","1,538",706,"1,499",201,"1,339"
        25 to 34 years:,"314,976","53,058","425,238","190,842","2,661,191","362,429","216,233","57,090","74,112","1,182,541","681,554","93,385","102,301","887,496","414,521","191,463","186,606","280,284","323,859","74,183","406,739","447,561","585,283","363,461","193,093","395,863","60,446","122,147","192,332","73,157","562,616","133,989","1,390,429","629,625","46,725","717,157","252,887","262,506","778,840","64,866","306,035","53,133","425,626","1,850,125","218,857","35,116","564,817","476,162","107,869","360,482","37,600","235,252"
            Less than 9th grade,"7,187",853,"17,040","5,182","136,196","9,266","4,490","1,430","1,938","33,258","25,234","1,033","3,122","27,324","11,707","3,560","5,616","7,362","10,089",990,"12,485","9,483","12,760","7,631","4,489","7,515",438,"4,238","7,660",457,"16,769","4,150","46,982","26,245",496,"14,195","7,124","5,429","14,256","1,599","7,884","1,050","12,827","84,739","3,912",806,"11,683","14,128","1,596","7,813",444,"11,263"
"            9th to 12th grade, no diploma","24,883","3,089","35,449","15,006","208,206","23,490","9,588","3,336","2,820","81,090","62,853","3,734","4,942","45,672","30,362","6,734","11,507","17,192","33,686","2,211","18,227","17,033","40,762","14,015","15,548","23,461","2,711","6,693","21,385","2,889","25,725","11,153","88,779","41,008","1,328","45,467","19,706","15,518","40,620","3,424","24,231","2,851","27,365","168,118","13,860","1,379","24,728","24,862","8,136","17,182","2,228","13,008"
"            High school graduate, GED, or alternative","76,240","11,902","90,860","51,994","488,988","55,243","44,767","12,878","7,278","282,820","148,849","19,923","25,480","163,591","91,011","32,741","32,984","65,983","76,457","19,219","73,820","73,459","114,205","53,454","44,831","83,599","13,332","18,445","45,018","15,524","108,240","30,222","237,859","112,187","8,247","154,890","61,526","53,093","176,749","11,911","68,841","11,239","110,309","401,727","40,441","7,937","107,616","97,675","29,568","65,671","8,579","51,229"
"            Some college, no degree","82,591","16,356","115,964","51,636","640,456","88,490","44,798","13,243","8,361","272,080","164,753","22,505","29,524","195,476","100,599","45,552","46,577","79,209","84,871","20,623","90,340","77,095","162,485","76,260","53,680","97,620","14,435","29,010","53,850","14,465","104,320","39,043","234,615","163,903","10,864","176,708","64,102","73,159","154,371","14,550","80,709","12,049","105,540","492,270","63,447","6,628","128,218","125,548","27,410","91,235","11,985","45,953"
            Associate's degree,"30,825","4,549","43,891","17,678","239,921","33,756","16,780","5,515","1,424","147,978","59,057","11,391","11,578","74,882","47,682","32,409","20,672","28,639","27,534","7,636","31,803","31,360","61,996","52,083","25,068","38,504","6,375","16,236","15,604","7,478","42,102","15,987","128,568","61,125","5,746","81,474","25,939","23,826","77,390","6,339","34,142","7,673","34,331","145,057","28,696","3,544","48,159","51,446","10,990","45,394","4,061","27,945"
            Bachelor's degree,"67,524","11,871","88,627","34,487","666,773","107,207","56,179","14,385","24,682","257,006","145,921","25,252","20,003","253,275","95,915","52,013","48,187","52,591","64,590","17,581","110,646","146,592","135,553","117,687","34,744","100,718","18,049","33,999","36,224","22,399","173,195","23,378","400,040","162,204","14,976","165,747","56,030","62,951","204,526","17,484","61,209","13,188","94,055","409,297","53,414","10,325","155,887","113,495","20,422","95,143","8,487","64,133"
            Graduate or professional degree,"25,726","4,438","33,407","14,859","280,651","44,977","39,631","6,303","27,609","108,309","74,887","9,547","7,652","127,276","37,245","18,454","21,063","29,308","26,632","5,923","69,418","92,539","57,522","42,331","14,733","44,446","5,106","13,526","12,591","9,945","92,265","10,056","253,586","62,953","5,068","78,676","18,460","28,530","110,928","9,559","29,019","5,083","41,199","148,917","15,087","4,497","88,526","49,008","9,747","38,044","1,816","21,721"
        35 to 44 years:,"314,440","45,920","411,300","186,011","2,575,628","344,975","235,315","58,603","42,555","1,209,898","716,734","86,439","96,616","853,825","412,971","178,364","169,728","282,871","285,569","82,386","401,366","438,541","617,036","331,256","190,417","368,120","56,128","110,075","186,602","84,799","608,667","123,125","1,291,480","676,759","36,556","718,754","230,486","249,153","783,176","66,240","304,205","45,610","426,363","1,781,542","174,103","36,945","558,181","450,130","115,339","345,348","33,333","248,014"
            Less than 9th grade,"9,727",967,"26,046","8,554","247,124","14,356","4,843","2,206","1,600","37,773","28,140",791,"3,042","38,313","12,544","4,017","4,939","9,052","6,438",783,"13,235","11,523","14,112","7,226","3,901","8,424",435,"4,486","13,213","1,322","22,913","5,166","59,323","28,496",202,"11,133","8,401","9,534","16,149","3,568","8,363","1,069","11,956","136,975","7,276",155,"17,653","17,608","2,373","8,577",598,"14,824"
"            9th to 12th grade, no diploma","24,709","1,880","31,244","12,906","228,252","15,661","10,225","2,835","1,805","76,584","41,386","4,088","3,625","46,814","25,562","6,302","9,331","18,489","21,465","3,314","17,184","18,167","33,223","10,628","14,321","24,016","2,194","6,003","16,524","2,400","28,815","9,008","91,898","42,535","1,007","37,044","16,849","13,946","34,927","2,843","21,154","1,611","28,933","163,605","8,120",726,"26,660","21,406","7,815","12,555","1,155","14,103"
"            High school graduate, GED, or alternative","78,041","10,937","79,853","49,380","460,463","57,397","48,442","14,072","7,825","307,136","154,860","21,902","26,443","175,981","105,301","35,383","33,633","78,718","81,879","23,234","80,435","84,175","138,643","51,617","48,539","89,497","11,284","18,414","52,769","18,607","135,178","30,278","269,449","139,231","5,880","190,028","59,882","46,032","215,381","13,391","75,454","10,344","116,573","382,320","36,634","8,440","108,673","92,109","36,211","75,900","6,933","52,638"
"            Some college, no degree","77,783","11,080","107,403","46,423","534,639","72,408","43,777","13,825","6,705","258,373","174,910","17,707","24,987","178,814","100,773","38,904","40,285","63,802","67,308","16,688","77,568","75,637","149,818","74,074","48,299","88,728","15,055","25,633","46,634","17,334","103,653","29,108","206,986","160,912","8,259","163,036","57,679","61,968","145,702","13,717","70,059","10,368","96,071","413,760","46,812","5,966","113,568","104,767","27,798","77,288","10,043","37,266"
            Associate's degree,"34,384","5,359","40,033","16,736","221,269","35,889","22,852","4,353","1,507","153,140","68,122","10,804","11,715","85,860","48,783","29,148","18,146","32,126","27,723","11,298","31,328","44,201","74,488","46,758","23,755","34,713","6,837","12,533","14,537","10,799","47,354","14,433","143,304","80,095","5,741","92,462","23,701","24,173","92,126","6,429","36,264","6,640","38,631","137,417","21,087","4,450","54,784","51,887","11,772","47,053","4,302","32,449"
            Bachelor's degree,"55,558","8,410","83,323","35,767","551,823","94,411","58,407","13,414","8,460","254,050","153,382","18,855","19,222","199,179","82,399","45,081","40,288","49,676","54,306","17,839","93,162","112,435","127,590","94,496","34,390","77,114","14,460","27,949","28,438","22,006","163,923","20,468","284,523","153,010","10,050","142,163","45,262","58,082","167,574","16,333","57,998","10,684","89,207","371,841","39,873","11,150","137,678","104,706","18,574","82,531","7,028","66,985"
            Graduate or professional degree,"34,238","7,287","43,398","16,245","332,058","54,853","46,769","7,898","14,653","122,842","95,934","12,292","7,582","128,864","37,609","19,529","23,106","31,008","26,450","9,230","88,454","92,403","79,162","46,457","17,212","45,628","5,863","15,057","14,487","12,331","106,831","14,664","235,997","72,480","5,417","82,888","18,712","35,418","111,317","9,959","34,913","4,894","44,992","175,624","14,301","6,058","99,165","57,647","10,796","41,444","3,274","29,749"
        45 to 64 years:,"665,546","93,979","825,020","390,441","4,852,400","692,657","531,990","131,443","74,333","2,697,803","1,304,663","185,001","199,764","1,731,784","883,838","408,557","375,240","610,096","616,983","210,684","854,721","955,979","1,421,326","734,462","397,626","830,834","146,333","240,421","352,180","207,963","1,276,056","279,890","2,728,997","1,332,262","87,564","1,641,871","495,523","538,127","1,832,976","152,927","658,456","108,881","895,661","3,184,146","285,345","98,192","1,135,537","939,621","272,122","801,042","78,430","495,506"
            Less than 9th grade,"22,751","2,122","50,603","14,727","528,781","20,606","16,331","2,475","3,238","106,604","50,278","7,389","6,706","75,701","25,345","7,017","9,685","24,342","24,152","3,313","23,229","36,971","27,796","15,895","15,021","21,364","1,938","6,308","21,082","3,672","52,231","17,321","160,933","41,352","1,103","32,196","15,474","18,294","40,682","7,937","20,497","1,943","33,684","294,866","7,779","1,609","40,381","31,002","11,037","15,066","1,650","66,779"
"            9th to 12th grade, no diploma","59,587","3,782","55,224","30,767","344,180","27,634","23,834","8,453","6,389","184,006","101,382","7,119","8,883","92,488","59,074","15,234","16,835","48,512","53,695","6,909","43,301","41,078","79,963","19,520","42,376","56,933","5,788","8,163","23,761","8,832","60,969","18,652","182,082","91,047","2,267","107,315","34,932","25,737","99,716","6,996","54,376","3,442","69,809","255,098","15,853","2,986","68,935","39,000","21,759","33,872","3,589","38,822"
"            High school graduate, GED, or alternative","211,575","22,812","202,882","138,884","944,890","150,323","137,347","42,120","18,145","805,947","382,964","48,840","52,989","466,916","333,784","128,857","97,509","216,367","228,640","67,872","228,816","234,529","438,083","190,581","124,283","263,960","40,397","65,199","103,999","55,524","373,999","71,223","749,565","363,242","23,801","589,778","159,403","131,753","702,749","40,585","200,936","34,197","305,128","812,261","68,395","26,232","287,942","208,402","112,948","255,530","20,535","134,087"
"            Some college, no degree","156,245","25,117","220,954","91,130","1,111,394","165,277","97,189","28,257","11,798","589,339","283,620","40,107","61,282","397,261","179,383","98,111","98,406","128,509","135,276","41,172","180,381","170,798","353,609","180,198","87,461","199,347","39,902","63,297","94,465","40,375","233,375","67,700","472,263","313,008","23,380","344,663","124,165","155,162","319,601","30,058","144,540","26,574","202,758","735,268","81,915","17,614","239,533","260,583","51,472","176,892","22,070","59,660"
            Associate's degree,"62,209","9,306","76,566","30,173","451,706","70,485","54,891","10,502","2,774","288,584","110,425","19,610","19,156","163,895","86,418","53,733","35,092","58,757","39,443","25,202","69,979","100,056","160,853","88,546","40,562","68,847","14,983","26,751","30,705","23,914","104,296","25,544","296,775","157,849","12,482","166,395","38,813","52,504","183,001","20,388","72,776","13,173","76,944","240,743","33,960","11,114","104,482","105,909","22,928","96,745","9,875","52,439"
            Bachelor's degree,"93,663","18,822","136,410","54,397","946,750","162,281","109,685","23,366","13,898","466,287","232,443","41,091","36,224","330,519","124,008","71,910","74,525","72,595","88,085","41,480","167,458","205,511","219,552","156,345","53,549","134,225","29,385","46,062","50,418","48,288","284,769","43,317","464,385","236,212","18,184","249,196","80,178","92,608","287,899","25,928","102,738","21,249","131,882","563,275","51,638","21,874","232,625","186,506","29,151","145,320","13,176","107,779"
            Graduate or professional degree,"59,516","12,018","82,381","30,363","524,699","96,051","92,713","16,270","18,091","257,036","143,551","20,845","14,524","205,004","75,826","33,695","43,188","61,014","47,692","24,736","141,557","167,036","141,470","83,377","34,374","86,158","13,940","24,641","27,750","27,358","166,417","36,133","402,994","129,552","6,347","152,328","42,558","62,069","199,328","21,035","62,593","8,303","75,456","282,635","25,805","16,763","161,639","108,219","22,827","77,617","7,535","35,940"
        65 years and over:,"400,340","32,362","526,858","247,184","2,580,936","337,088","305,560","78,459","42,856","1,939,122","649,765","117,066","112,918","973,116","505,503","266,397","221,806","348,140","340,915","124,832","436,677","554,122","813,424","407,344","231,543","499,195","84,000","144,339","189,846","107,265","723,819","160,624","1,603,791","767,213","56,564","975,188","299,843","320,381","1,174,720","92,584","391,939","66,996","520,910","1,587,533","147,598","54,136","600,605","497,459","172,915","461,495","39,923","329,164"
            Less than 9th grade,"41,232","3,677","46,229","23,555","406,850","18,849","28,567","4,324","2,948","182,438","73,314","15,598","5,754","100,507","34,708","16,062","12,967","53,854","42,516","7,064","35,960","56,821","51,550","25,955","28,312","45,094","3,081","7,962","15,213","5,561","77,118","19,729","205,211","72,820","6,300","62,314","21,736","14,335","87,359","11,052","42,040","6,709","63,457","247,770","5,609","3,763","64,232","27,304","20,908","32,597","1,671","135,658"
"            9th to 12th grade, no diploma","62,799","1,991","42,068","34,236","212,267","22,374","27,234","8,936","5,083","187,563","85,267","10,075","11,569","98,896","65,723","20,298","16,208","49,366","48,533","11,274","48,012","48,704","91,379","26,336","38,134","57,450","5,768","9,591","19,728","9,417","79,537","15,863","171,680","103,053","4,889","125,696","36,852","25,437","149,528","13,218","54,180","4,748","71,568","162,191","9,870","4,196","71,718","37,332","23,536","42,515","3,854","39,948"
"            High school graduate, GED, or alternative","150,255","9,448","165,298","102,338","665,691","105,890","117,132","30,135","11,796","714,117","237,798","37,909","38,172","375,586","238,277","124,138","85,557","134,063","135,216","51,751","150,550","208,660","338,981","173,484","80,728","208,169","32,265","63,587","65,073","43,256","298,312","47,506","598,219","272,568","21,508","444,617","115,137","109,304","576,958","34,738","141,709","27,498","199,574","494,757","48,488","19,039","201,247","158,064","79,747","214,408","15,904","76,768"
"            Some college, no degree","73,377","7,794","131,104","46,919","537,091","82,622","44,423","14,577","8,232","376,083","117,404","21,492","32,650","187,092","79,621","52,112","52,545","54,754","56,886","20,953","76,781","82,794","159,522","81,335","43,599","93,694","20,423","34,926","47,280","18,204","96,154","32,953","214,693","142,717","12,960","164,735","66,576","86,376","145,169","12,928","66,349","13,598","94,699","334,637","42,619","8,354","106,599","125,773","25,223","78,510","10,318","17,808"
            Associate's degree,"15,369","1,685","32,655","7,320","179,289","20,271","18,675","4,616","1,434","114,926","25,780","6,335","5,695","40,804","17,412","13,357","11,321","12,712","7,680","6,325","20,728","35,009","39,198","21,150","8,479","19,704","5,176","5,522","10,124","6,647","27,736","8,083","81,062","41,676","2,809","39,479","11,693","17,462","43,417","3,878","20,776","2,677","17,065","66,367","7,515","3,935","30,004","31,860","5,369","19,745","1,778","15,492"
            Bachelor's degree,"31,007","4,343","64,814","20,892","357,242","50,117","35,118","9,176","6,096","220,289","63,917","15,851","13,455","100,722","33,790","27,680","26,429","21,103","28,892","16,350","53,270","62,366","74,674","54,694","17,134","44,983","11,144","15,610","20,306","14,380","88,217","18,932","166,814","84,621","5,968","84,112","27,667","40,661","97,598","8,193","41,059","7,728","43,932","174,270","23,036","8,954","77,844","75,666","9,869","48,444","4,757","31,995"
            Graduate or professional degree,"26,301","3,424","44,690","11,924","222,506","36,965","34,411","6,695","7,267","143,706","46,285","9,806","5,623","69,509","35,972","12,750","16,779","22,288","21,192","11,115","51,376","59,768","58,120","24,390","15,157","30,101","6,143","7,141","12,122","9,800","56,745","17,558","166,112","49,758","2,130","54,235","20,182","26,806","74,691","8,577","25,826","4,038","30,615","107,541","10,461","5,895","48,961","41,460","8,263","25,276","1,641","11,495"
