"Label (Grouping)","Alabama!!Estimate","Alabama!!Margin of Error","Alaska!!Estimate","Alaska!!Margin of Error","Arizona!!Estimate","Arizona!!Margin of Error","Arkansas!!Estimate","Arkansas!!Margin of Error","California!!Estimate","California!!Margin of Error","Colorado!!Estimate","Colorado!!Margin of Error","Connecticut!!Estimate","Connecticut!!Margin of Error","Delaware!!Estimate","Delaware!!Margin of Error","District of Columbia!!Estimate","District of Columbia!!Margin of Error","Florida!!Estimate","Florida!!Margin of Error","Georgia!!Estimate","Georgia!!Margin of Error","Hawaii!!Estimate","Hawaii!!Margin of Error","Idaho!!Estimate","Idaho!!Margin of Error","Illinois!!Estimate","Illinois!!Margin of Error","Indiana!!Estimate","Indiana!!Margin of Error","Iowa!!Estimate","Iowa!!Margin of Error","Kansas!!Estimate","Kansas!!Margin of Error","Kentucky!!Estimate","Kentucky!!Margin of Error","Louisiana!!Estimate","Louisiana!!Margin of Error","Maine!!Estimate","Maine!!Margin of Error","Maryland!!Estimate","Maryland!!Margin of Error","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Michigan!!Estimate","Michigan!!Margin of Error","Minnesota!!Estimate","Minnesota!!Margin of Error","Mississippi!!Estimate","Mississippi!!Margin of Error","Missouri!!Estimate","Missouri!!Margin of Error","Montana!!Estimate","Montana!!Margin of Error","Nebraska!!Estimate","Nebraska!!Margin of Error","Nevada!!Estimate","Nevada!!Margin of Error","New Hampshire!!Estimate","New Hampshire!!Margin of Error","New Jersey!!Estimate","New Jersey!!Margin of Error","New Mexico!!Estimate","New Mexico!!Margin of Error","New York!!Estimate","New York!!Margin of Error","North Carolina!!Estimate","North Carolina!!Margin of Error","North Dakota!!Estimate","North Dakota!!Margin of Error","Ohio!!Estimate","Ohio!!Margin of Error","Oklahoma!!Estimate","Oklahoma!!Margin of Error","Oregon!!Estimate","Oregon!!Margin of Error","Pennsylvania!!Estimate","Pennsylvania!!Margin of Error","Rhode Island!!Estimate","Rhode Island!!Margin of Error","South Carolina!!Estimate","South Carolina!!Margin of Error","South Dakota!!Estimate","South Dakota!!Margin of Error","Tennessee!!Estimate","Tennessee!!Margin of Error","Texas!!Estimate","Texas!!Margin of Error","Utah!!Estimate","Utah!!Margin of Error","Vermont!!Estimate","Vermont!!Margin of Error","Virginia!!Estimate","Virginia!!Margin of Error","Washington!!Estimate","Washington!!Margin of Error","West Virginia!!Estimate","West Virginia!!Margin of Error","Wisconsin!!Estimate","Wisconsin!!Margin of Error","Wyoming!!Estimate","Wyoming!!Margin of Error","Puerto Rico!!Estimate","Puerto Rico!!Margin of Error"
"Total:","3,678,352","±2,369","534,495","±459","4,858,481","±1,354","2,226,793","±1,718","28,424,476","±2,035","3,888,219","±1,783","2,777,089","±430","702,510","±415","512,516","±261","15,062,592","±3,240","7,327,141","±3,391","1,070,453","±515","1,157,332","±1,272","9,772,719","±1,737","4,919,665","±2,419","2,338,453","±2,136","2,148,825","±1,569","3,344,357","±2,902","3,455,588","±1,893","1,057,866","±1,215","4,481,657","±1,236","5,182,429","±662","7,583,102","±2,238","4,067,200","±2,623","2,226,571","±1,976","4,596,993","±3,484","775,128","±1,348","1,382,015","±1,402","2,060,219","±880","1,038,525","±874","6,778,730","±891","1,564,471","±1,733","15,185,575","±2,215","7,367,259","±3,968","532,654","±1,005","8,852,579","±2,486","2,855,875","±1,175","3,009,839","±1,903","9,981,972","±1,960","832,228","±507","3,597,217","±2,968","622,233","±877","4,912,899","±3,210","18,716,999","±4,159","1,936,143","±1,576","500,510","±849","6,243,511","±2,763","5,249,796","±1,930","1,468,533","±2,039","4,387,367","±2,048","433,067","±1,016","2,830,195","*****"
"    Male:","1,753,623","±3,624","277,149","±863","2,396,824","±1,741","1,080,057","±2,403","14,006,329","±2,911","1,937,510","±2,689","1,332,483","±1,257","335,335","±825","238,716","±379","7,275,850","±4,586","3,527,814","±3,694","533,483","±841","575,003","±1,833","4,731,623","±3,117","2,390,114","±2,996","1,144,355","±2,244","1,053,094","±2,194","1,620,165","±3,310","1,663,775","±2,254","511,029","±1,493","2,134,178","±2,083","2,469,937","±1,156","3,673,776","±2,821","2,001,738","±2,447","1,061,768","±2,146","2,221,379","±3,218","385,683","±1,649","676,985","±1,765","1,034,399","±1,142","507,574","±1,320","3,254,119","±1,186","767,783","±2,060","7,245,549","±3,313","3,529,894","±5,083","268,091","±1,428","4,263,437","±3,267","1,398,064","±1,750","1,472,370","±2,160","4,800,985","±2,716","396,339","±808","1,723,794","±2,734","308,543","±1,645","2,358,728","±3,866","9,182,680","±5,088","964,327","±1,775","244,021","±835","3,026,460","±3,860","2,598,833","±2,670","715,129","±2,780","2,157,197","±2,754","220,087","±1,396","1,325,325","*****"
"        18 to 24 years:","244,731","±3,045","42,938","±1,333","337,102","±2,604","144,253","±3,330","2,068,402","±4,221","261,664","±2,215","170,914","±1,350","45,803","±649","38,051","±225","924,294","±5,915","523,088","±6,405","70,974","±782","80,992","±1,630","641,056","±3,630","337,901","±3,188","158,683","±2,127","153,226","±2,146","215,675","±2,508","241,879","±3,146","59,437","±1,089","290,213","±2,551","339,196","±1,388","508,283","±2,963","258,167","±1,877","157,971","±3,198","295,749","±2,653","50,572","±1,446","94,514","±1,472","126,858","±1,358","62,829","±1,053","401,673","±1,741","108,962","±2,066","1,010,917","±2,505","495,145","±5,183","45,048","±1,047","559,060","±3,142","199,945","±2,203","185,949","±2,481","643,441","±2,843","60,256","±893","249,489","±3,517","43,745","±1,313","312,226","±3,520","1,364,082","±6,583","165,369","±1,919","33,716","±744","421,398","±4,244","343,860","±3,187","89,696","±2,094","284,342","±2,373","31,256","±1,152","194,928","±1,393"
"            Less than 9th grade","6,586","±1,529","838","±511","8,110","±1,603","2,527","±993","59,827","±3,996","4,008","±1,241","4,366","±1,290","2,003","±876","741","±743","33,676","±4,249","16,819","±2,249","1,206","±586","1,256","±573","11,415","±2,180","8,705","±1,395","2,386","±664","3,345","±917","3,749","±870","8,566","±1,588","1,082","±454","7,009","±1,755","4,242","±1,139","7,728","±1,194","3,684","±879","3,997","±977","4,724","±1,276","980","±514","1,674","±603","2,492","±866","746","±578","10,624","±2,158","2,312","±1,036","27,768","±3,570","17,558","±2,882","444","±333","10,785","±1,707","7,219","±1,621","3,513","±959","10,547","±1,808","551","±369","7,611","±2,136","1,210","±575","6,099","±1,258","45,470","±4,618","953","±490","148","±147","6,911","±1,551","7,792","±1,798","1,367","±683","4,630","±1,008","72","±94","8,253","±1,694"
"            9th to 12th grade, no diploma","44,887","±4,079","7,810","±1,243","60,833","±4,781","22,083","±2,423","323,516","±10,171","43,111","±3,784","22,883","±2,215","7,418","±1,435","5,118","±1,068","157,064","±7,513","112,911","±6,717","6,611","±1,503","12,755","±2,045","100,250","±4,856","61,561","±3,660","20,324","±2,059","22,363","±2,267","36,795","±2,750","46,034","±2,981","6,330","±1,041","38,391","±3,431","43,029","±3,227","81,542","±2,858","32,981","±2,104","32,865","±3,400","44,361","±3,206","5,893","±1,006","12,406","±1,423","28,730","±3,294","7,876","±1,324","48,558","±3,160","21,092","±2,463","149,425","±5,934","82,790","±4,654","4,573","±934","90,201","±4,937","34,131","±2,878","29,254","±2,891","88,751","±4,000","7,192","±1,408","49,326","±4,473","6,650","±1,151","42,519","±3,235","253,229","±9,981","21,307","±2,423","3,612","±727","50,775","±3,719","61,727","±3,648","13,893","±1,717","38,751","±2,429","4,812","±1,245","28,372","±2,693"
"            High school graduate, GED, or alternative","76,434","±4,487","16,955","±1,689","111,295","±5,838","53,151","±3,248","636,395","±13,918","81,508","±4,441","52,829","±3,203","13,957","±2,072","8,723","±1,731","307,010","±9,421","173,320","±7,891","30,914","±2,257","28,095","±2,685","200,025","±7,213","113,664","±5,719","44,162","±2,393","42,400","±3,108","78,377","±3,388","78,674","±4,545","20,202","±1,803","94,346","±4,885","101,017","±4,230","154,975","±5,068","73,134","±3,795","53,021","±3,737","99,371","±4,119","19,031","±2,143","27,045","±2,409","44,634","±3,550","21,208","±2,136","128,821","±4,843","33,610","±2,791","280,432","±7,452","156,427","±6,750","14,815","±1,680","184,638","±5,446","72,170","±3,384","62,121","±3,612","216,532","±6,355","16,104","±2,117","81,362","±4,783","14,451","±1,729","126,399","±5,192","432,763","±12,753","54,633","±3,779","9,397","±1,123","141,940","±5,068","111,157","±5,300","34,886","±3,245","98,244","±4,690","10,435","±1,575","61,878","±3,581"
"            Some college, no degree","97,394","±4,323","14,125","±1,697","122,968","±7,154","53,600","±3,573","834,373","±12,702","104,640","±4,530","66,450","±3,234","16,549","±1,870","14,775","±2,216","312,123","±10,161","176,819","±6,701","25,635","±2,210","33,338","±2,866","235,186","±7,337","122,102","±5,062","67,021","±3,312","65,714","±3,698","77,513","±4,095","91,308","±4,398","22,153","±1,773","112,512","±4,418","136,654","±5,297","210,630","±4,861","109,832","±4,117","51,737","±3,598","113,150","±4,628","19,769","±1,909","42,203","±2,939","42,810","±4,497","24,882","±2,477","151,959","±4,657","43,976","±3,049","390,565","±8,037","192,959","±7,129","18,245","±1,603","219,938","±6,157","71,119","±3,575","74,371","±4,161","245,578","±6,768","27,511","±2,595","87,397","±4,701","16,663","±1,610","111,617","±5,120","511,623","±12,669","75,015","±3,692","15,770","±1,437","168,558","±5,081","122,767","±5,280","30,741","±2,887","109,338","±4,507","13,589","±1,519","77,420","±3,923"
"            Associate's degree","5,789","±1,230","1,715","±683","14,559","±2,342","5,002","±1,466","80,541","±5,833","7,549","±1,345","5,199","±1,140","2,013","±827","906","±819","56,186","±5,066","12,161","±2,203","2,816","±850","2,315","±996","29,203","±2,957","8,475","±1,705","11,247","±1,726","8,947","±1,857","7,328","±1,628","5,006","±1,517","3,675","±1,197","9,810","±1,679","11,278","±1,793","19,221","±2,069","15,375","±1,843","8,052","±1,850","14,177","±1,875","1,350","±580","4,768","±903","3,544","±1,719","2,367","±838","17,885","±1,948","3,314","±1,118","46,955","±3,324","15,152","±2,483","5,010","±1,278","17,457","±2,634","5,143","±1,182","6,197","±1,321","23,781","±2,422","2,490","±820","9,094","±1,702","2,532","±749","7,987","±1,792","43,454","±4,483","8,260","±1,314","879","±393","12,835","±2,082","17,329","±2,640","2,543","±982","10,737","±1,686","819","±509","11,989","±1,923"
"            Bachelor's degree","13,223","±1,603","1,297","±569","18,379","±3,030","6,752","±1,832","123,828","±5,412","20,277","±2,753","17,495","±2,091","2,911","±857","7,245","±1,484","55,446","±5,039","29,545","±3,174","3,544","±1,023","2,888","±1,360","61,066","±4,487","21,351","±2,544","12,972","±1,913","9,971","±1,602","11,491","±1,653","11,605","±2,356","5,796","±1,161","26,528","±2,522","40,103","±3,061","32,086","±2,941","22,601","±2,423","8,019","±1,696","18,874","±2,540","3,478","±1,363","5,741","±1,131","4,201","±1,832","5,389","±1,034","40,119","±2,828","3,918","±1,102","106,855","±4,703","27,688","±2,988","1,714","±618","34,685","±3,222","9,763","±1,597","9,855","±1,851","55,149","±3,677","6,040","±1,387","13,715","±2,040","2,118","±690","16,721","±2,288","71,678","±6,760","4,776","±1,118","3,837","±888","37,995","±3,533","21,804","±3,094","6,002","±1,275","21,198","±2,488","1,483","±740","6,671","±1,473"
"            Graduate or professional degree","418","±276","198","±214","958","±605","1,138","±727","9,922","±1,982","571","±339","1,692","±722","952","±539","543","±404","2,789","±1,111","1,513","±789","248","±213","345","±531","3,911","±1,079","2,043","±817","571","±391","486","±468","422","±293","686","±335","199","±161","1,617","±615","2,873","±806","2,101","±660","560","±461","280","±218","1,092","±609","71","±94","677","±518","447","±492","361","±269","3,707","±882","740","±676","8,917","±1,566","2,571","±1,406","247","±293","1,356","±489","400","±223","638","±420","3,103","±895","368","±271","984","±526","121","±195","884","±525","5,865","±1,547","425","±495","73","±92","2,384","±867","1,284","±685","264","±208","1,444","±751","46","±86","345","±228"
