"Label (Grouping)","Alabama!!Estimate","Alabama!!Margin of Error","Alaska!!Estimate","Alaska!!Margin of Error","Arizona!!Estimate","Arizona!!Margin of Error","Arkansas!!Estimate","Arkansas!!Margin of Error","California!!Estimate","California!!Margin of Error","Colorado!!Estimate","Colorado!!Margin of Error","Connecticut!!Estimate","Connecticut!!Margin of Error","Delaware!!Estimate","Delaware!!Margin of Error","District of Columbia!!Estimate","District of Columbia!!Margin of Error","Florida!!Estimate","Florida!!Margin of Error","Georgia!!Estimate","Georgia!!Margin of Error","Hawaii!!Estimate","Hawaii!!Margin of Error","Idaho!!Estimate","Idaho!!Margin of Error","Illinois!!Estimate","Illinois!!Margin of Error","Indiana!!Estimate","Indiana!!Margin of Error","Iowa!!Estimate","Iowa!!Margin of Error","Kansas!!Estimate","Kansas!!Margin of Error","Kentucky!!Estimate","Kentucky!!Margin of Error","Louisiana!!Estimate","Louisiana!!Margin of Error","Maine!!Estimate","Maine!!Margin of Error","Maryland!!Estimate","Maryland!!Margin of Error","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Michigan!!Estimate","Michigan!!Margin of Error","Minnesota!!Estimate","Minnesota!!Margin of Error","Mississippi!!Estimate","Mississippi!!Margin of Error","Missouri!!Estimate","Missouri!!Margin of Error","Montana!!Estimate","Montana!!Margin of Error","Nebraska!!Estimate","Nebraska!!Margin of Error","Nevada!!Estimate","Nevada!!Margin of Error","New Hampshire!!Estimate","New Hampshire!!Margin of Error","New Jersey!!Estimate","New Jersey!!Margin of Error","New Mexico!!Estimate","New Mexico!!Margin of Error","New York!!Estimate","New York!!Margin of Error","North Carolina!!Estimate","North Carolina!!Margin of Error","North Dakota!!Estimate","North Dakota!!Margin of Error","Ohio!!Estimate","Ohio!!Margin of Error","Oklahoma!!Estimate","Oklahoma!!Margin of Error","Oregon!!Estimate","Oregon!!Margin of Error","Pennsylvania!!Estimate","Pennsylvania!!Margin of Error","Rhode Island!!Estimate","Rhode Island!!Margin of Error","South Carolina!!Estimate","South Carolina!!Margin of Error","South Dakota!!Estimate","South Dakota!!Margin of Error","Tennessee!!Estimate","Tennessee!!Margin of Error","Texas!!Estimate","Texas!!Margin of Error","Utah!!Estimate","Utah!!Margin of Error","Vermont!!Estimate","Vermont!!Margin of Error","Virginia!!Estimate","Virginia!!Margin of Error","Washington!!Estimate","Washington!!Margin of Error","West Virginia!!Estimate","West Virginia!!Margin of Error","Wisconsin!!Estimate","Wisconsin!!Margin of Error","Wyoming!!Estimate","Wyoming!!Margin of Error","Puerto Rico!!Estimate","Puerto Rico!!Margin of Error"
"        25 to 34 years:","298,317","±3,976","55,623","±1,479","444,260","±3,081","191,221","±3,763","2,768,151","±4,756","383,357","±3,201","214,834","±1,597","56,049","±859","62,465","±95","1,173,729","±7,085","653,250","±7,261","100,023","±1,503","106,722","±2,388","892,995","±3,569","420,555","±3,125","196,568","±2,338","190,360","±2,301","281,045","±2,560","313,231","±3,782","72,313","±841","384,175","±3,189","425,179","±1,923","583,831","±3,059","368,735","±2,542","186,506","±3,990","393,891","±2,920","64,497","±1,485","124,579","±1,499","198,433","±1,818","74,049","±1,613","560,392","±2,509","141,070","±2,636","1,338,851","±3,372","614,440","±5,704","50,183","±1,148","708,106","±3,062","260,897","±2,582","267,922","±3,034","768,898","±3,194","64,783","±1,003","290,622","±4,263","52,889","±1,250","409,563","±4,616","1,852,360","±7,164","224,047","±2,245","34,987","±698","555,572","±5,904","494,436","±3,628","109,428","±2,166","372,540","±3,082","41,413","±1,162","227,130","±1,812"
"            Less than 9th grade","12,130","±1,910","888","±550","19,070","±2,245","7,051","±1,501","190,554","±8,532","14,842","±2,300","8,647","±1,703","3,868","±971","2,106","±984","57,793","±5,589","37,884","±4,249","1,345","±666","3,996","±1,021","39,306","±3,845","16,873","±2,239","4,419","±1,060","5,950","±1,329","9,403","±1,733","12,093","±2,323","763","±386","18,774","±2,678","12,921","±1,987","15,667","±1,597","9,009","±1,537","9,211","±1,836","9,686","±1,458","546","±370","4,172","±970","9,454","±2,083","1,211","±664","24,550","±3,071","8,145","±1,624","62,457","±5,213","38,610","±4,253","168","±142","18,224","±1,976","14,748","±2,122","11,974","±2,150","18,263","±2,262","2,201","±791","10,086","±1,890","1,090","±593","15,654","±2,947","128,365","±8,899","4,721","±1,359","317","±149","18,267","±2,917","18,573","±2,741","1,690","±532","10,654","±1,746","556","±473","19,701","±2,231"
"            9th to 12th grade, no diploma","39,995","±3,670","3,480","±783","50,574","±4,425","20,184","±2,606","298,252","±8,621","30,136","±3,101","15,160","±2,007","6,134","±1,619","2,585","±845","129,677","±7,157","76,163","±5,551","5,468","±1,313","7,436","±1,295","69,007","±4,596","43,703","±3,320","11,098","±1,292","12,552","±2,085","26,877","±2,632","44,137","±3,198","5,753","±1,146","25,872","±3,272","27,822","±3,008","48,792","±3,000","20,040","±2,180","27,976","±3,132","32,874","±2,906","4,499","±1,088","8,362","±1,438","25,271","±3,726","5,290","±1,231","31,453","±2,956","18,421","±2,274","113,151","±5,448","67,397","±4,990","2,679","±840","57,293","±4,336","24,390","±2,090","22,786","±2,667","53,958","±3,713","5,820","±1,271","36,144","±3,478","3,383","±872","40,506","±3,533","208,112","±7,979","19,527","±2,361","2,858","±711","37,667","±3,936","36,165","±3,164","9,959","±1,594","24,378","±2,084","3,577","±1,203","22,816","±2,359"
"            High school graduate, GED, or alternative","92,241","±5,154","18,625","±1,853","114,173","±7,136","68,710","±4,049","682,654","±16,006","92,317","±4,621","60,675","±4,016","14,622","±2,043","7,413","±1,382","363,930","±11,569","194,694","±7,001","32,731","±2,477","30,740","±3,178","223,453","±7,774","130,412","±5,079","51,896","±3,313","50,453","±3,857","100,558","±3,874","106,710","±4,323","24,446","±1,695","97,410","±4,318","95,459","±5,424","173,294","±6,225","90,862","±4,210","55,686","±3,620","116,567","±4,297","18,513","±1,778","29,878","±2,373","59,215","±6,027","23,119","±2,107","152,018","±6,860","41,345","±2,813","330,312","±9,012","170,156","±7,691","12,191","±1,486","214,954","±5,658","84,783","±4,037","65,754","±3,966","250,305","±6,733","16,811","±2,250","93,891","±5,978","15,975","±1,747","143,236","±6,898","511,678","±12,257","52,303","±3,664","12,232","±1,232","143,738","±7,295","129,449","±5,744","43,764","±3,036","113,979","±4,738","13,836","±1,706","68,346","±3,661"
"            Some college, no degree","69,506","±5,060","17,521","±1,907","121,590","±7,460","45,803","±3,205","677,739","±14,971","87,671","±5,239","45,673","±3,373","12,335","±1,501","6,581","±1,223","253,144","±11,127","140,732","±6,964","26,720","±2,235","32,285","±2,767","200,838","±7,955","94,452","±4,919","44,044","±3,156","50,352","±3,311","63,715","±4,070","65,953","±4,703","16,847","±1,599","87,021","±4,929","75,166","±4,857","155,669","±5,463","80,530","±3,512","46,025","±3,977","95,562","±4,908","17,097","±2,187","32,766","±2,415","54,567","±4,004","15,407","±1,914","116,735","±5,816","38,216","±3,066","239,439","±7,854","137,386","±6,308","12,138","±1,337","178,909","±6,475","62,476","±3,341","78,002","±4,693","145,273","±6,206","13,829","±1,842","65,876","±4,923","11,705","±1,567","99,835","±6,304","450,183","±14,010","62,444","±3,852","6,192","±982","128,377","±5,977","121,459","±5,786","25,441","±2,186","85,456","±4,076","11,576","±1,319","44,411","±3,250"
"            Associate's degree","21,265","±2,713","5,044","±1,401","35,193","±4,026","10,111","±1,535","181,024","±7,275","27,825","±2,865","10,889","±1,577","2,804","±815","1,412","±523","114,234","±6,444","39,281","±4,419","10,718","±1,429","7,794","±1,749","64,440","±4,273","33,925","±2,718","28,023","±2,554","14,790","±1,935","19,991","±2,206","18,607","±2,864","5,573","±959","23,807","±3,100","25,245","±3,402","43,339","±2,937","44,838","±2,732","15,645","±2,244","30,449","±3,340","5,729","±1,086","14,381","±1,910","15,004","±2,933","5,690","±1,106","33,264","±2,790","10,426","±1,921","103,568","±5,132","44,263","±4,216","8,820","±1,418","52,814","±3,206","18,967","±2,286","20,930","±2,692","63,393","±4,027","4,067","±899","19,428","±2,507","7,446","±1,484","19,202","±2,500","128,901","±7,874","21,566","±2,208","2,585","±569","35,131","±3,744","45,697","±4,725","5,477","±1,289","41,338","±2,965","3,349","±836","24,059","±2,378"
"            Bachelor's degree","44,248","±3,394","8,145","±1,227","77,159","±5,609","29,781","±2,879","541,289","±12,794","99,469","±5,623","51,295","±3,403","11,804","±1,876","21,952","±2,271","184,937","±8,592","123,942","±5,959","17,734","±2,298","18,253","±2,317","214,692","±6,308","78,010","±3,850","45,252","±3,197","41,686","±2,886","41,463","±3,175","51,012","±3,592","14,879","±1,597","88,401","±4,030","125,570","±5,777","108,781","±3,942","96,529","±4,018","22,312","±2,492","76,721","±3,875","15,002","±2,067","26,691","±2,250","28,234","±3,441","17,467","±1,857","141,578","±5,331","18,022","±2,218","330,283","±9,445","118,181","±6,627","10,917","±1,431","135,825","±6,121","42,762","±2,873","51,204","±4,213","170,268","±5,860","16,079","±1,744","51,742","±4,072","10,516","±1,392","66,801","±4,926","313,591","±10,913","47,215","±2,991","8,015","±1,018","132,989","±5,872","103,050","±5,298","16,563","±2,055","74,813","±3,542","6,512","±1,233","37,319","±2,720"
"            Graduate or professional degree","18,932","±1,856","1,920","±821","26,501","±3,063","9,581","±1,878","196,639","±7,475","31,097","±2,223","22,495","±2,484","4,482","±1,179","20,416","±1,923","70,014","±6,268","40,554","±4,159","5,307","±1,071","6,218","±1,543","81,259","±4,711","23,180","±2,329","11,836","±1,803","14,577","±1,484","19,038","±1,962","14,719","±1,795","4,052","±1,046","42,890","±3,540","62,996","±4,166","38,289","±2,517","26,927","±2,057","9,651","±1,665","32,032","±2,588","3,111","±858","8,329","±1,455","6,688","±1,548","5,865","±1,148","60,794","±3,948","6,495","±1,321","159,641","±6,396","38,447","±3,787","3,270","±781","50,087","±3,123","12,771","±1,713","17,272","±2,225","67,438","±3,403","5,976","±2,016","13,455","±2,067","2,774","±899","24,329","±2,978","111,530","±6,221","16,271","±2,139","2,788","±845","59,403","±4,644","40,043","±3,680","6,534","±1,189","21,922","±2,313","2,007","±651","10,478","±1,634"
"        35 to 44 years:","297,714","±3,362","47,236","±1,299","419,659","±2,355","183,026","±3,097","2,595,120","±3,626","363,285","±2,680","227,110","±1,582","55,926","±851","41,770","±631","1,192,179","±5,358","685,242","±5,528","89,280","±983","97,848","±1,977","851,796","±3,400","418,181","±2,761","182,400","±2,115","175,998","±2,450","284,565","±2,499","283,185","±3,789","81,431","±929","373,672","±2,735","422,278","±1,656","616,549","±2,429","336,593","±2,164","183,960","±4,070","367,886","±3,280","56,510","±1,072","111,856","±1,578","195,731","±1,727","86,195","±1,323","599,678","±2,617","123,530","±2,013","1,260,585","±3,224","646,398","±6,366","38,544","±677","720,603","±2,724","236,024","±2,219","255,379","±2,327","785,850","±3,237","65,869","±860","300,066","±4,163","49,073","±1,239","416,483","±3,563","1,751,514","±5,604","177,869","±2,132","38,826","±956","547,198","±4,333","461,100","±2,789","117,420","±1,570","358,015","±2,493","34,030","±918","232,229","±1,763"
"            Less than 9th grade","15,842","±2,576","542","±421","26,663","±3,319","9,556","±1,866","271,480","±9,430","19,414","±2,617","8,895","±1,690","3,848","±1,027","3,879","±1,492","60,780","±6,316","36,316","±3,679","940","±465","5,062","±1,252","46,713","±3,835","17,771","±2,030","4,718","±969","8,662","±1,254","12,567","±1,992","13,988","±1,811","1,401","±591","15,819","±2,239","15,131","±1,852","14,118","±1,803","6,500","±1,116","8,522","±1,539","10,034","±1,753","516","±275","6,179","±1,325","13,841","±2,104","1,233","±657","31,246","±2,986","6,746","±1,290","78,232","±4,370","40,783","±4,296","722","±431","17,828","±2,159","12,326","±1,643","12,934","±2,099","20,386","±2,576","3,146","±956","13,658","±2,328","1,079","±427","13,855","±1,971","154,886","±6,649","8,772","±1,768","916","±454","19,288","±2,859","22,091","±2,579","4,685","±1,412","9,378","±1,384","126","±118","26,821","±2,902"
"            9th to 12th grade, no diploma","39,321","±3,211","2,959","±900","45,582","±4,646","17,306","±2,440","277,810","±10,172","25,426","±2,647","13,502","±1,945","3,381","±807","1,986","±642","108,063","±6,606","59,542","±4,491","4,332","±935","6,255","±1,567","58,329","±4,223","34,264","±3,523","9,971","±1,400","12,311","±2,082","28,483","±2,621","34,788","±3,510","3,875","±1,078","24,334","±2,716","25,497","±2,448","47,237","±3,442","16,689","±1,780","24,267","±2,835","32,126","±2,998","1,788","±619","5,995","±1,242","25,052","±3,234","6,538","±1,361","38,341","±2,934","14,354","±1,616","99,595","±5,803","57,023","±4,190","2,003","±687","52,269","±3,679","21,905","±2,311","18,933","±2,253","50,821","±3,752","5,110","±1,428","30,382","±3,325","2,551","±760","41,913","±3,662","191,364","±7,697","12,717","±2,082","2,714","±710","37,483","±3,121","28,670","±2,931","9,926","±1,866","23,577","±2,449","1,914","±636","25,459","±2,973"
"            High school graduate, GED, or alternative","89,687","±4,334","15,220","±1,576","100,965","±5,778","68,945","±4,017","561,569","±13,519","71,729","±4,059","67,055","±3,596","18,665","±1,808","6,964","±1,373","365,249","±11,998","204,677","±8,341","25,781","±2,183","26,281","±2,664","222,038","±6,571","141,314","±5,107","56,248","±3,236","44,479","±3,077","104,864","±5,073","104,249","±5,041","27,861","±2,136","94,381","±5,391","109,269","±5,070","187,638","±4,783","77,875","±3,479","59,391","±3,604","110,406","±4,492","17,742","±1,810","26,195","±2,170","62,820","±4,576","25,604","±2,198","165,917","±5,394","34,556","±2,936","345,383","±8,638","172,189","±8,394","10,768","±1,334","238,845","±5,594","75,790","±3,979","65,898","±3,918","284,115","±6,593","17,489","±2,171","98,967","±5,276","14,556","±1,515","148,239","±5,300","433,593","±11,078","39,938","±3,102","12,232","±1,157","139,381","±6,275","108,387","±4,549","49,406","±2,866","109,701","±4,511","10,055","±1,397","68,033","±3,958"
"            Some college, no degree","66,487","±3,795","13,670","±1,640","106,094","±6,729","39,550","±3,035","518,748","±11,738","79,366","±4,570","38,461","±2,921","10,787","±1,538","4,715","±1,206","233,063","±9,150","140,713","±6,811","22,766","±2,378","25,373","±2,609","178,170","±7,585","88,519","±4,435","42,403","±2,974","44,649","±2,379","62,538","±4,681","59,673","±4,402","18,368","±1,866","76,895","±4,920","65,929","±4,328","148,699","±5,464","75,258","±3,848","43,243","±3,221","81,893","±4,622","13,404","±1,784","27,758","±1,922","46,076","±4,881","16,871","±1,674","100,480","±4,931","29,701","±2,701","211,534","±7,713","143,235","±5,836","9,091","±1,205","161,772","±5,433","55,316","±3,754","59,309","±3,739","137,684","±5,038","12,968","±1,620","63,067","±4,174","13,468","±1,567","83,825","±4,657","382,575","±11,045","42,007","±3,381","6,995","±880","104,209","±5,729","104,950","±5,190","20,526","±2,364","78,575","±4,193","9,715","±1,545","34,228","±2,923"
"            Associate's degree","21,610","±2,133","2,627","±792","32,601","±3,994","9,849","±1,670","166,935","±8,200","30,405","±3,182","13,882","±1,978","2,727","±874","1,352","±624","112,413","±8,319","44,613","±5,138","12,477","±1,769","8,628","±1,591","62,384","±4,120","33,080","±3,085","20,492","±2,116","11,956","±1,854","14,704","±1,813","15,230","±2,442","8,209","±1,310","20,681","±2,637","27,426","±2,701","46,527","±3,334","37,289","±2,702","12,570","±2,395","30,869","±2,555","5,724","±967","11,874","±1,240","10,679","±2,473","6,995","±1,295","33,282","±3,312","10,029","±1,848","99,680","±4,850","51,442","±4,402","5,632","±1,189","55,555","±3,421","16,021","±1,810","22,059","±2,657","62,518","±3,924","6,199","±1,414","23,743","±3,043","5,079","±1,015","24,604","±3,143","115,406","±7,429","16,059","±2,294","3,167","±719","37,181","±3,587","47,729","±3,903","7,395","±1,211","36,855","±2,544","3,924","±935","22,535","±2,398"
